trial,partition,bollinger,return_pct,pf,max_dd_pct,trades,wins,losses,gross_profit,gross_loss,net_pnl,fees,signals_blocked
285,TRAIN,OFF,193.0124,1.3361,32.7222,152,47,105,76726.02,57424.77,19301.25,5775.83,0
285,TRAIN,ON,194.3308,1.5337,35.1154,109,36,73,55844.33,36411.29,19433.04,3639.18,196
285,VALID,OFF,17.3038,1.1566,29.6752,59,16,43,12783.22,11052.86,1730.36,1139.59,0
285,VALID,ON,41.0589,1.4648,16.3277,45,15,30,12940.35,8834.42,4105.93,1026.57,76
189,TRAIN,OFF,99.1565,1.3831,24.6392,110,31,79,35795.17,25879.51,9915.66,2568.55,0
189,TRAIN,ON,49.2952,1.3895,26.0865,69,18,51,17584.35,12654.79,4929.56,1195.81,163
189,VALID,OFF,51.2547,1.6154,18.6786,44,15,29,13453.86,8328.39,5125.47,908.34,0
189,VALID,ON,76.9202,2.2179,13.0489,33,14,19,14007.99,6315.99,7692.0,797.23,58
156,TRAIN,OFF,29.5553,1.2199,27.629,109,29,80,16393.81,13438.31,2955.5,1381.76,0
156,TRAIN,ON,0.0548,1.0006,25.5943,76,17,59,8493.12,8487.63,5.49,798.17,134
156,VALID,OFF,19.9109,1.3852,13.9941,42,12,30,7160.54,5169.44,1991.1,632.52,0
156,VALID,ON,19.6527,1.5128,13.0756,33,10,23,5797.79,3832.49,1965.3,444.58,50
125,TRAIN,OFF,13.3452,1.0691,28.8899,148,35,113,20653.75,19319.24,1334.51,1758.69,0
125,TRAIN,ON,2.7144,1.0207,20.2832,102,23,79,13379.54,13108.08,271.46,1267.93,444
125,VALID,OFF,20.7222,1.3016,16.0015,56,16,40,8943.43,6871.25,2072.18,829.62,0
125,VALID,ON,19.3456,1.4118,13.8189,38,11,27,6632.57,4698.05,1934.52,536.96,131
52,TRAIN,OFF,1.1925,1.013,8.3777,183,68,115,9301.26,9182.06,119.2,1119.06,0
52,TRAIN,ON,-5.0377,0.9274,12.0377,137,47,90,6435.16,6938.91,-503.75,783.6,168
52,VALID,OFF,12.6719,1.2857,7.116,89,39,50,5702.94,4435.73,1267.21,606.44,0
52,VALID,ON,14.5384,1.4208,7.957,71,33,38,4908.51,3454.67,1453.84,480.78,54
