trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,risk_per_trade_pct,max_position_allocation_pct,leverage,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked
0,-10.0,False,69,21,74.0,35.0,9,6,1.1,18,34,1.6,1.0,0.03,0.7,1.5,1.647755745449995,99.0,1.2692900550454922,0.4292016822634743,2.0,2.0,0.0,100.0,164.78,0.0,164.78,21.11,0.0,0.32254971705000574,99.0,1.2441630939062283,0.15619768949998616,1.0,1.0,0.0,100.0,32.25,0.0,32.25,10.44,0.0
1,-10.0,False,43,9,62.0,33.0,13,8,2.8,6,21,1.0,2.4000000000000004,0.025,0.35,3.0,-33.888364703150096,0.7663743145627748,-1.483462115455514,39.1718611656236,353.0,96.0,257.0,27.195467422096318,11116.52,14505.34,-3388.8199999999997,2926.91,0.0,-7.216498564099948,0.8941148678490046,-0.6141397873196397,13.856715128015404,147.0,50.0,97.0,34.01360544217687,6093.67,6815.31,-721.6400000000003,1507.96,0.0
2,-10.0,False,97,7,70.0,24.0,7,20,3.9000000000000004,17,22,0.6,3.1,0.016,0.3,3.0,-25.84533808279992,0.8124256554477003,-0.9826314954945877,32.967699655815736,250.0,62.0,188.0,24.8,11194.210000000001,13778.75,-2584.539999999999,2006.66,0.0,-18.24773381080004,0.6830199953794015,-1.6037076134162809,25.20846248916965,99.0,23.0,76.0,23.232323232323232,3932.03,5756.83,-1824.7999999999997,785.81,0.0
3,-10.0,False,24,20,61.0,37.0,11,12,2.6,7,49,1.7000000000000002,3.9000000000000004,0.028,0.55,5.0,-23.375390381199903,0.8614729645963685,-0.35880969210419983,60.031863914226655,109.0,22.0,87.0,20.18348623853211,14536.960000000001,16874.539999999997,-2337.5799999999963,2494.18,0.0,19.80879055835021,1.3314664649757202,1.0870103294596376,24.575900907147297,37.0,11.0,26.0,29.72972972972973,7957.03,5976.139999999999,1980.8900000000003,1050.42,0.0
4,-10.0,False,31,9,56.0,28.0,12,8,3.5,10,21,1.3,1.4,0.025,0.25,5.0,-9.617786367499903,0.8889732822048357,-0.5565218683345344,19.49457764286159,201.0,92.0,109.0,45.77114427860697,7701.3,8663.14,-961.8399999999992,2396.45,0.0,-13.635029745349895,0.6353693105845857,-2.1276623929660783,20.097657626511992,71.0,29.0,42.0,40.84507042253521,2375.8999999999996,3739.4,-1363.5000000000005,843.47,0.0
5,-10.0,False,121,9,55.0,41.0,17,16,3.3000000000000003,5,24,0.6,3.6,0.021,0.4,1.0,-4.595018164749872,0.7669695648205431,-0.8367578526572169,7.3422952142217435,141.0,33.0,108.0,23.404255319148938,1512.51,1972.0599999999997,-459.5499999999997,553.68,0.0,-3.9510139129999877,0.4669454937938478,-2.338659142116015,4.214769563355841,47.0,10.0,37.0,21.27659574468085,346.09999999999997,741.1999999999999,-395.09999999999997,181.34,0.0
6,-10.0,False,60,11,73.0,36.0,20,12,1.3,16,41,1.3,3.3000000000000003,0.017,0.5,2.5,,,,,,,,,,,,,,-0.45105408510000417,0.0,-1.3299505356512697,0.45502998785192283,1.0,0.0,1.0,0.0,0.0,45.11,-45.11,12.47,0.0
7,-10.0,False,23,8,55.0,36.0,11,12,3.8000000000000003,8,26,1.7000000000000002,1.7000000000000002,0.007,0.4,1.5,1.9723615300999517,1.1029410229372643,0.376585437922018,4.425313646864887,90.0,43.0,47.0,47.77777777777778,2112.8599999999997,1915.6599999999999,197.19999999999982,531.61,0.0,2.2242830558500284,1.5587518528754114,1.1220841847980958,2.3969822967011396,19.0,11.0,8.0,57.89473684210526,620.4300000000001,398.03000000000003,222.40000000000003,114.57,0.0
8,-10.0,False,141,19,71.0,42.0,19,7,3.7,13,43,1.9000000000000001,1.9,0.007,0.35,2.5,-8.979118933649916,0.8346216394916026,-0.7610071612513353,10.90239336407984,129.0,44.0,85.0,34.10852713178294,4531.67,5429.61,-897.9399999999996,791.46,0.0,-1.97566073925007,0.933819884513873,-0.2989690977548745,8.061896661844466,68.0,25.0,43.0,36.76470588235294,2788.0499999999997,2985.64,-197.59000000000015,412.95,0.0
9,-10.0,False,127,19,55.0,33.0,13,7,1.3,9,48,1.0,2.6,0.023000000000000003,0.4,5.0,-3.0901117071000046,0.0,-1.2766343207223645,3.0901117071000046,3.0,0.0,3.0,0.0,0.0,309.0,-309.0,58.95,0.0,-0.7985522527999637,0.5764069378878693,-0.6850486348215797,1.8650167053254951,3.0,1.0,2.0,33.333333333333336,108.67,188.53,-79.86,60.27,0.0
