trial,score,enabled,length,std,min_bandwidth_pct,expansion_lookback,expansion_min_ratio,min_mid_distance,va_trades_ratio,tr_on_return_pct,tr_on_pf,tr_on_sharpe,tr_on_max_dd,tr_on_trades,tr_on_wins,tr_on_losses,tr_on_win_rate,tr_on_gross_profit,tr_on_gross_loss,tr_on_net_pnl,tr_on_fees,tr_on_blocked,va_on_return_pct,va_on_pf,va_on_sharpe,va_on_max_dd,va_on_trades,va_on_wins,va_on_losses,va_on_win_rate,va_on_gross_profit,va_on_gross_loss,va_on_net_pnl,va_on_fees,va_on_blocked
95,0.5131531965039248,True,50,2.4,0.5,12,0.7000000000000001,0.04,0.5794392523364486,16.99051009195,1.0873058368669979,0.5473703188418012,20.442738286215146,130.0,41.0,89.0,31.53846153846154,21159.449999999997,19460.44,1699.0099999999984,2324.2,349.0,71.51139459644989,2.112249103733601,3.4487587693362434,9.038856603789746,62.0,29.0,33.0,46.774193548387096,13580.6,6429.45,7151.150000000001,1219.33,135.0
27,0.5004305419673013,True,50,2.4,1.0,14,0.35000000000000003,0.08,0.5607476635514018,21.661973918449874,1.1075754430538158,0.6420681201467272,23.778337015560027,128.0,40.0,88.0,31.25,22302.559999999998,20136.38,2166.1799999999967,2341.4,355.0,72.54464789334997,2.1015237213115996,3.530287767322029,8.568025262861587,60.0,28.0,32.0,46.666666666666664,13840.32,6585.85,7254.469999999999,1174.86,165.0
91,0.49424054197610356,True,49,2.4,0.4,10,0.65,0.07,0.5420560747663551,3.825928964599771,1.0215839677106506,0.23185132835406502,21.85478314670453,124.0,40.0,84.0,32.25806451612903,18107.3,17724.73,382.5699999999997,2126.18,373.0,64.76538990399986,2.1348505583582007,3.282137120145677,11.125076947714717,58.0,27.0,31.0,46.55172413793103,12183.4,5706.91,6476.49,1102.14,149.0
37,0.45211562102229896,True,15,2.8,0.4,12,0.8500000000000001,0.14,0.48598130841121495,60.54565899879967,1.257938646511733,1.396719049577368,28.379829846836046,98.0,37.0,61.0,37.755102040816325,29527.379999999997,23472.829999999994,6054.550000000003,2457.97,417.0,60.16553976509993,2.0706382282076015,3.008084355800506,10.895564550868242,52.0,23.0,29.0,44.23076923076923,11636.2,5619.62,6016.580000000001,943.13,183.0
23,0.4322308180727841,True,46,2.5,0.7000000000000001,10,0.45,0.07,0.6074766355140186,24.3983467340497,1.1019875417066909,0.6799472296757915,23.74473795670857,147.0,48.0,99.0,32.6530612244898,26362.87,23923.019999999997,2439.850000000002,2820.42,295.0,71.4317189466999,1.9891422351957193,3.4281889792799585,10.441062621327097,65.0,30.0,35.0,46.15384615384615,14364.71,7221.56,7143.149999999999,1291.23,137.0
144,0.41495328046254987,True,50,2.5,0.7000000000000001,5,0.4,0.06,0.6728971962616822,24.174486691699947,1.093563424098611,0.6742313742104901,28.184061578263382,153.0,50.0,103.0,32.6797385620915,28254.77,25837.339999999997,2417.430000000004,3071.83,280.0,76.28526296139982,1.9689150364652002,3.427656747109283,10.485638694434924,72.0,33.0,39.0,45.833333333333336,15501.78,7873.259999999999,7628.520000000001,1445.09,118.0
108,0.4015523595183661,True,50,2.4,0.9,10,0.6000000000000001,0.07,0.5514018691588785,-19.34061228635025,0.8844594691466584,-0.4592212661149989,31.175240253624125,129.0,37.0,92.0,28.68217054263566,14805.71,16739.84,-1934.130000000001,1891.21,358.0,62.30646413264987,2.0296418585281697,3.2143810101081036,13.328878550209755,59.0,27.0,32.0,45.76271186440678,12281.850000000002,6051.24,6230.610000000002,1134.67,154.0
89,0.39480085130039133,True,50,2.4,0.4,11,0.75,0.07,0.45794392523364486,-4.201618422700012,0.9677383197086296,-0.024312064029317102,21.237255939440487,100.0,31.0,69.0,31.0,12605.139999999996,13025.36,-420.2200000000048,1539.62,446.0,49.26235961745002,2.0511756333739473,2.9341218548224237,9.0385918340338,49.0,22.0,27.0,44.89795918367347,9612.65,4686.41,4926.24,884.01,177.0
148,0.39286477559704547,True,50,2.6,0.6000000000000001,2,0.4,0.06,0.6915887850467289,13.390804406449789,1.0558376142546233,0.45349023172687086,28.183738798830554,151.0,48.0,103.0,31.788079470198674,25319.44,23980.43,1339.0099999999984,2825.86,287.0,75.34972860504982,1.9477341705123319,3.396250530310021,10.941508319435659,74.0,33.0,41.0,44.5945945945946,15485.48,7950.51,7534.969999999999,1483.49,117.0
131,0.39203034235589296,True,50,2.3,0.8,11,0.75,0.04,0.5794392523364486,41.89501819210003,1.2008165879126198,1.0559204822410377,19.959116605888543,123.0,42.0,81.0,34.146341463414636,25051.94,20862.420000000002,4189.519999999997,2454.27,370.0,59.90296831320002,1.9245156929079414,3.0032398361998074,9.757887997322484,62.0,28.0,34.0,45.16129032258065,12469.630000000001,6479.360000000001,5990.27,1171.09,145.0
