trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,risk_per_trade_pct,max_position_allocation_pct,leverage,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked
0,-10.0,False,69,21,74.0,35.0,9,6,1.1,18,34,1.6,1.0,0.03,0.7,1.5,-0.21609465580002507,0.9072930072930073,-0.0360110343164761,2.9071279543751385,2.0,1.0,1.0,50.0,211.49,233.1,-21.609999999999985,21.22,0.0,-2.390554743749999,0.0,-1.0394376124375848,3.7298129837782974,1.0,0.0,1.0,0.0,0.0,239.06,-239.06,10.39,0.0
1,0.22036851640067417,True,43,9,62.0,33.0,13,8,2.8,6,21,1.0,2.4000000000000004,0.025,0.35,3.0,25.27055894209956,1.0762413449879,0.7301886496213656,21.381285849051228,387.0,130.0,257.0,33.59173126614987,35671.04,33144.09,2526.9500000000044,5178.73,0.0,24.422749697900052,1.269665675511247,1.7620807673850971,9.246424866329104,148.0,56.0,92.0,37.83783783783784,11499.07,9056.770000000002,2442.2999999999975,1752.82,0.0
2,-10.0,False,97,7,70.0,24.0,7,20,3.9000000000000004,17,22,0.6,3.1,0.016,0.3,3.0,-14.851391267450254,0.9194707478146197,-0.33371232752501795,27.011097851228733,250.0,65.0,185.0,26.0,16956.76,18441.87,-1485.1100000000006,1931.33,0.0,11.271933000050103,1.1700387085873931,0.9009786608038974,12.142468938670307,90.0,28.0,62.0,31.11111111111111,7756.210000000001,6629.02,1127.1900000000005,854.87,0.0
3,-10.0,False,24,20,61.0,37.0,11,12,2.6,7,49,1.7000000000000002,3.9000000000000004,0.028,0.55,5.0,71.23155411934938,1.3138995213413374,1.1906573377552034,32.569147154154834,95.0,26.0,69.0,27.36842105263158,29815.77,22692.579999999998,7123.190000000002,2859.65,0.0,21.438181369849953,1.2150109821777813,0.9115178964024948,24.383985925464554,50.0,13.0,37.0,26.0,12114.51,9970.699999999997,2143.810000000003,1274.35,0.0
4,-10.0,False,31,9,56.0,28.0,12,8,3.5,10,21,1.3,1.4,0.025,0.25,5.0,-19.352728770750037,0.8326164666849453,-0.8418656974119109,27.456383018578727,196.0,84.0,112.0,42.857142857142854,9626.62,11561.89,-1935.2699999999986,2030.42,0.0,-17.224549461400038,0.6215618250806884,-2.2422156381085725,22.79250074475711,72.0,30.0,42.0,41.666666666666664,2829.0200000000004,4551.469999999999,-1722.449999999999,805.21,0.0
5,-10.0,False,121,9,55.0,41.0,17,16,3.3000000000000003,5,24,0.6,3.6,0.021,0.4,1.0,-8.920648275500024,0.7118525815985401,-1.2500385029815468,10.764141483305027,150.0,33.0,117.0,22.0,2203.86,3095.95,-892.0899999999997,567.14,0.0,-3.5943553913500184,0.5578042149034853,-1.759229649508722,4.395093795963741,42.0,10.0,32.0,23.80952380952381,453.4,812.83,-359.43000000000006,165.28,0.0
6,-10.0,False,60,11,73.0,36.0,20,12,1.3,16,41,1.3,3.3000000000000003,0.017,0.5,2.5,-0.8991105629000049,0.0,-1.3178709115797012,0.9271169962872727,1.0,0.0,1.0,0.0,0.0,89.91,-89.91,12.46,0.0,-0.5039393050000035,0.0,-1.670706910987153,0.5039393050000035,1.0,0.0,1.0,0.0,0.0,50.39,-50.39,12.48,0.0
7,-10.0,False,23,8,55.0,36.0,11,12,3.8000000000000003,8,26,1.7000000000000002,1.7000000000000002,0.007,0.4,1.5,-1.3356841487000384,0.9464641484171747,-0.17944394210169115,8.775026968836022,79.0,31.0,48.0,39.24050632911393,2361.04,2494.59,-133.55000000000018,425.52,0.0,-1.6072487821000687,0.8144719069992957,-0.5477165865683331,4.3184407311250546,23.0,7.0,16.0,30.434782608695652,705.52,866.23,-160.71000000000004,119.21,0.0
8,-10.0,False,141,19,71.0,42.0,19,7,3.7,13,43,1.9000000000000001,1.9,0.007,0.35,2.5,3.1360824045499247,1.0469456302425413,0.286087744302666,9.920485818766354,153.0,59.0,94.0,38.56209150326797,6994.5599999999995,6680.92,313.6399999999994,795.78,0.0,2.932057073249944,1.0865835255344467,0.5390461711581704,6.23552487616337,78.0,31.0,47.0,39.743589743589745,3679.3999999999996,3386.210000000001,293.1899999999987,428.93,0.0
9,-10.0,False,127,19,55.0,33.0,13,7,1.3,9,48,1.0,2.6,0.023000000000000003,0.4,5.0,-7.9063139886499805,0.0,-1.842842977897819,7.9063139886499805,5.0,0.0,5.0,0.0,0.0,790.63,-790.63,96.95,0.0,-0.2530328707500121,0.908263533848218,-0.10194842344748171,2.5689266886614743,3.0,1.0,2.0,33.333333333333336,250.49,275.78999999999996,-25.299999999999955,60.03,0.0
10,-10.0,False,87,14,80.0,20.0,15,4,2.2,20,12,0.9,2.4000000000000004,0.014000000000000002,0.75,4.0,-32.11846340300034,0.8412202094784887,-0.8609448407059045,42.05985596025029,248.0,72.0,176.0,29.032258064516128,17016.48,20228.33,-3211.850000000002,2197.08,0.0,11.439463112549966,1.0909994145236324,0.762254140492797,19.53900917935564,120.0,42.0,78.0,35.0,13714.909999999998,12570.959999999997,1143.9500000000007,1554.45,0.0
11,-10.0,False,58,15,65.0,30.0,7,4,2.0,4,33,1.4,1.1,0.03,0.75,2.0,-10.283396794400069,0.9610788574612421,-0.13496169206426994,26.692774281897,316.0,157.0,159.0,49.68354430379747,25390.8,26419.059999999998,-1028.2599999999984,4517.86,0.0,-4.972650305600018,0.9493584892592656,-0.1667602594157952,21.32088618486888,143.0,75.0,68.0,52.44755244755245,9321.02,9818.230000000001,-497.21000000000095,1963.25,0.0
12,-10.0,False,58,16,80.0,30.0,9,9,2.9000000000000004,13,10,0.9,2.4000000000000004,0.027,0.6000000000000001,3.5,-51.60270870395014,0.8624046417248615,-0.6897051443057538,55.982914036483244,384.0,109.0,275.0,28.385416666666668,32343.019999999997,37503.299999999996,-5160.279999999999,4280.12,0.0,-30.223980288199993,0.8462858456480697,-0.9642188529622243,44.07578767674208,157.0,49.0,108.0,31.21019108280255,16639.74,19662.08,-3022.34,2300.8,0.0
13,-10.0,False,80,12,64.0,39.0,15,10,1.0,12,34,2.0,1.0,0.021,0.65,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-10.0,False,45,17,75.0,44.0,9,6,1.9,20,31,1.5,2.0,0.03,0.5,2.0,24.71398302110003,1.180573963692902,0.8200165107819818,16.827443286082566,134.0,53.0,81.0,39.55223880597015,16158.019999999999,13686.58,2471.4399999999987,1498.89,0.0,-6.551989729549877,0.8974625405891788,-0.4346047095771567,12.637447209703613,74.0,26.0,48.0,35.13513513513514,5735.01,6390.25,-655.2399999999998,713.04,0.0
15,-10.0,False,76,21,66.0,32.0,15,10,2.9000000000000004,16,16,1.1,2.9000000000000004,0.025,0.65,4.0,-46.04037441835061,0.8934603960075276,-0.6394704195821577,52.84253372069024,293.0,76.0,217.0,25.938566552901023,38609.39000000001,43213.31999999999,-4603.929999999986,4723.42,0.0,-4.725432326650261,0.9742090617016738,0.08639648702183453,32.292977632371795,112.0,32.0,80.0,28.571428571428573,17850.91,18323.489999999998,-472.5799999999981,2162.69,0.0
16,-10.0,False,100,12,59.0,26.0,9,5,1.8,6,37,1.6,1.5,0.02,0.5,3.0,-0.6075820034500976,0.9855810531811383,0.006462047346969323,8.358992695976019,51.0,23.0,28.0,45.09803921568628,4153.139999999999,4213.900000000001,-60.76000000000113,740.1,0.0,-1.669468172800007,0.8874429393083266,-0.24925512992595272,6.481842353065774,18.0,7.0,11.0,38.888888888888886,1316.1399999999999,1483.07,-166.93000000000006,261.86,0.0
17,-10.0,False,45,18,76.0,35.0,13,15,2.5,18,28,0.5,2.2,0.027,0.25,1.5,4.059260308699832,1.0672377916647338,0.4005418485633082,7.893783349115957,228.0,83.0,145.0,36.40350877192982,6441.889999999999,6036.04,405.84999999999945,886.1,0.0,-0.8642028401499193,0.9518143497557817,-0.2135700416059013,6.051346841510929,76.0,25.0,51.0,32.89473684210526,1707.0599999999997,1793.4800000000002,-86.42000000000053,285.26,0.0
18,-10.0,False,41,14,68.0,33.0,17,6,1.5,11,18,1.2000000000000002,1.3,0.024,0.65,4.0,-53.56683996165026,0.6451670383930291,-2.1333509782006277,53.63659683710351,154.0,61.0,93.0,39.61038961038961,9739.589999999998,15096.23,-5356.640000000001,2587.24,0.0,-25.799588575149873,0.6841750907697618,-1.961146957684236,29.84320947469986,76.0,33.0,43.0,43.421052631578945,5589.04,8169.02,-2579.9800000000005,1427.05,0.0
19,-10.0,False,68,11,61.0,39.0,10,14,3.1,13,38,0.8,2.7,0.028,0.7,2.0,-33.07252875725026,0.8492353867375861,-0.8184255815072192,41.76384269882348,253.0,68.0,185.0,26.877470355731226,18629.32,21936.58,-3307.260000000002,2921.28,0.0,11.467326302749843,1.1657193972736561,0.7977951390605799,11.686042730540374,84.0,30.0,54.0,35.714285714285715,8066.650000000001,6919.89,1146.7600000000002,1196.77,0.0
20,-10.0,False,108,21,76.0,25.0,13,9,2.3,15,29,1.8,1.7000000000000002,0.018000000000000002,0.45,3.0,-13.279164330050024,0.8089516980632612,-0.6343706984974073,18.273667154999956,77.0,25.0,52.0,32.467532467532465,5622.91,6950.860000000001,-1327.9500000000007,848.55,0.0,5.67231152335009,1.1503332759100484,0.6661244355977576,13.504324330009002,42.0,17.0,25.0,40.476190476190474,4340.379999999999,3773.15,567.2299999999991,557.43,0.0
21,-10.0,False,89,7,70.0,20.0,7,20,4.0,18,22,0.7,3.1,0.012,0.3,3.0,-7.229275506399918,0.9601825670196327,-0.14131741992974156,23.142779370540232,264.0,74.0,190.0,28.03030303030303,17433.670000000002,18156.62,-722.9499999999971,2022.8,0.0,-7.022770205750002,0.892542648303172,-0.5063787888882881,18.13436892244304,95.0,25.0,70.0,26.31578947368421,5833.15,6535.43,-702.2800000000007,773.42,0.0
22,-10.0,False,103,7,72.0,22.0,7,17,3.4000000000000004,18,17,0.5,3.5,0.012,0.3,3.5,-15.742214627150098,0.9145300815868472,-0.39718498611176134,24.432309943030475,243.0,56.0,187.0,23.045267489711936,16844.190000000002,18418.41,-1574.2199999999975,1984.95,0.0,4.5634124772000355,1.0804039756219177,0.4688698295379418,13.073131244427005,79.0,22.0,57.0,27.848101265822784,6131.929999999999,5675.589999999999,456.34000000000015,738.8,0.0
23,-10.0,False,70,9,69.0,24.0,8,18,4.0,17,14,0.8,3.0,0.015,0.3,2.5,-16.639854004600146,0.9204581196254356,-0.3922010903222132,23.47455571510583,308.0,79.0,229.0,25.649350649350648,19256.26,20920.3,-1664.0400000000009,2094.56,0.0,-10.35746765925025,0.8608319314633373,-0.7084922944302489,24.750648175418576,113.0,30.0,83.0,26.548672566371682,6406.6900000000005,7442.4400000000005,-1035.75,761.17,0.0
24,-10.0,False,88,10,74.0,28.0,10,14,2.7,15,20,1.1,4.0,0.01,0.35,3.5,2.6758574016999046,1.0224589165137907,0.19472372934272833,24.155768772480304,133.0,31.0,102.0,23.30827067669173,12183.6,11915.980000000001,267.619999999999,1344.44,0.0,22.236252893650015,1.855970436523212,2.063997202171155,8.950816718612101,37.0,14.0,23.0,37.83783783783784,4821.44,2597.7999999999997,2223.64,392.38,0.0
25,-10.0,False,37,7,77.0,31.0,11,19,1.6,19,27,0.7,3.3000000000000003,0.03,0.35,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
26,-10.0,False,114,14,67.0,34.0,8,11,1.0,15,24,1.5,2.7,0.023000000000000003,0.55,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
27,-10.0,False,59,8,64.0,27.0,8,20,3.1,9,44,1.0,2.2,0.005,0.25,3.0,-2.8818345619001047,0.9196724143696289,-0.32213103239497326,10.674209756333864,109.0,37.0,72.0,33.944954128440365,3300.41,3588.6800000000003,-288.27000000000044,612.24,0.0,3.7258585667000075,1.4574125908465922,1.2356509525052706,3.2398011357965495,29.0,13.0,16.0,44.827586206896555,1187.15,814.56,372.59000000000015,177.03,0.0
28,-10.0,False,149,12,78.0,23.0,14,6,3.7,14,36,0.6,3.7,0.018000000000000002,0.45,2.5,3.113101903549559,1.0136716442816711,0.23505210985247066,33.57250797132681,203.0,47.0,156.0,23.15270935960591,23083.280000000002,22771.950000000004,311.3299999999981,1723.46,0.0,7.158657201950028,1.088310297563016,0.512403551628397,23.444192041129003,72.0,19.0,53.0,26.38888888888889,8821.31,8105.509999999999,715.8000000000002,678.36,0.0
29,-10.0,False,96,10,62.0,38.0,10,13,2.5,7,30,1.8,3.8000000000000003,0.026000000000000002,0.6000000000000001,4.5,-19.469311411050022,0.2464294284763239,-1.917609776164883,24.289668209247,13.0,1.0,12.0,7.6923076923076925,636.68,2583.62,-1946.94,305.56,0.0,22.49730932875,2.417092897276323,1.6374636260343856,12.5099911169084,12.0,5.0,7.0,41.666666666666664,3837.2799999999997,1587.5600000000002,2249.7199999999993,303.35,0.0
30,-10.0,False,51,17,58.0,45.0,17,16,2.1,17,50,1.2000000000000002,3.3000000000000003,0.028,0.45,2.0,8.151968915849976,3.0218253968253976,0.8002841954369097,5.677001223814267,9.0,5.0,4.0,55.55555555555556,1218.4,403.19999999999993,815.2000000000002,84.08,0.0,2.6221630101499978,4.439721894267349,1.7210859386024808,0.897154481495309,4.0,2.0,2.0,50.0,338.44,76.23,262.21,36.9,0.0
31,-10.0,False,21,20,58.0,37.0,12,9,2.5,4,46,1.6,3.9000000000000004,0.028,0.7,5.0,-10.323281738350506,0.9670790134291196,0.07828006628387445,47.99347891608244,152.0,35.0,117.0,23.026315789473685,30326.36,31358.719999999998,-1032.359999999997,4058.68,0.0,3.4616850011500175,1.027210435173591,0.37508527099622846,27.0259131172275,63.0,16.0,47.0,25.396825396825395,13067.75,12721.589999999998,346.1600000000017,1658.1100000000001,0.0
32,-0.5219490908625277,True,31,21,61.0,41.0,11,8,3.5,6,22,2.0,3.6,0.025,0.55,4.5,5.361041087049761,1.0159110396936037,0.3115383856441456,43.6080290691269,197.0,49.0,148.0,24.873096446700508,34228.409999999996,33692.33,536.0799999999945,3562.59,0.0,53.83537001690002,1.3493517904444734,1.6670940803177456,28.344512487385376,84.0,26.0,58.0,30.952380952380953,20793.699999999997,15410.14,5383.559999999998,2026.25,0.0
33,-0.5014661508566335,True,36,20,62.0,41.0,12,8,3.2,6,20,2.0,3.5,0.023000000000000003,0.55,4.5,15.305342414049699,1.0485119970180987,0.4525529906140824,29.283601294495753,177.0,46.0,131.0,25.98870056497175,33080.91,31550.340000000004,1530.5699999999997,3591.22,0.0,45.36778072294992,1.3834423910085314,1.6426642056465937,31.392814341760587,79.0,25.0,54.0,31.645569620253166,16368.42,11831.66,4536.76,1696.17,0.0
34,-0.5729525354658772,True,31,20,63.0,41.0,12,8,3.5,6,19,2.0,3.5,0.022000000000000002,0.55,4.5,6.550119366599974,1.0219019816349324,0.3153535702128772,37.554597295826504,184.0,47.0,137.0,25.543478260869566,30559.57,29904.600000000002,654.9699999999975,3324.06,0.0,40.893026367199944,1.2903865818326419,1.4731286339977565,26.05861643558378,86.0,26.0,60.0,30.232558139534884,18171.739999999998,14082.400000000001,4089.3399999999965,1978.16,0.0
35,0.001083344550086407,True,34,20,62.0,42.0,12,8,3.2,6,23,2.0,3.5,0.022000000000000002,0.55,4.5,31.835319357199747,1.097602432610669,0.6904914220184409,27.282557793216117,177.0,47.0,130.0,26.55367231638418,35800.29,32616.810000000005,3183.479999999996,3752.39,0.0,20.61112856180007,1.1938275656801518,0.9419915173044277,32.13615413611806,76.0,22.0,54.0,28.94736842105263,12694.84,10633.73,2061.1100000000006,1408.67,0.0
36,-10.0,False,30,19,60.0,43.0,14,8,3.2,6,23,1.9000000000000001,3.4000000000000004,0.025,0.6000000000000001,4.5,4.937371397649659,1.0151852492126836,0.30410300413540536,41.705314471966176,190.0,49.0,141.0,25.789473684210527,33002.84,32509.180000000004,493.6599999999926,3881.21,0.0,9.813538679799876,1.0759188346600448,0.5641352068486134,27.414972012965677,84.0,23.0,61.0,27.38095238095238,13908.080000000002,12926.7,981.380000000001,1850.63,0.0
37,-10.0,False,35,21,62.0,41.0,11,7,2.9000000000000004,5,25,1.9000000000000001,3.7,0.02,0.55,4.0,-25.10724832455025,0.8933362902427512,-0.36172840559084624,36.96226914218053,185.0,41.0,144.0,22.16216216216216,21027.43,23538.09,-2510.66,2631.85,0.0,4.810109144049875,1.0445834426337397,0.39565826550794375,32.523803558229034,86.0,22.0,64.0,25.58139534883721,11269.29,10788.310000000001,480.97999999999956,1376.19,0.0
38,-0.2948847322359238,True,50,18,57.0,40.0,14,10,3.3000000000000003,8,15,2.0,3.1,0.023000000000000003,0.5,5.0,6.346581723199598,1.0253965687861417,0.2998498095032425,32.692111398234196,134.0,39.0,95.0,29.104477611940297,25624.649999999998,24989.99,634.6599999999962,3134.77,0.0,12.435666363499895,1.1783567565396853,0.7615684583943113,20.832893753205646,45.0,14.0,31.0,31.11111111111111,8216.009999999998,6972.43,1243.579999999998,1108.53,0.0
39,-0.011525434229524067,True,50,18,57.0,39.0,14,11,2.7,8,15,1.8,3.2,0.019,0.5,5.0,50.98259256784995,1.1998723516695817,1.1247002649340536,17.51246735309447,136.0,44.0,92.0,32.35294117647059,30605.839999999997,25507.580000000005,5098.259999999991,3772.43,0.0,17.70453323490006,1.2786600644690123,1.0387890956342347,15.001300866196543,46.0,15.0,31.0,32.608695652173914,8123.89,6353.44,1770.4500000000007,1007.48,0.0
40,-0.07916506812120971,True,51,18,57.0,39.0,16,11,2.8,8,15,1.8,3.1,0.018000000000000002,0.5,5.0,79.53106995739978,1.2982135973878521,1.5465869977407907,17.976938469232266,144.0,50.0,94.0,34.72222222222222,34622.369999999995,26669.239999999994,7953.130000000001,4020.76,0.0,12.573200756349998,1.1966384478118004,0.828761104069179,15.636009692991026,50.0,16.0,34.0,32.0,7651.389999999999,6394.070000000001,1257.3199999999988,994.57,0.0
41,-10.0,False,51,18,58.0,39.0,16,11,2.8,8,15,1.8,3.1,0.019,0.5,5.0,120.16013670039965,1.3529495737647523,1.9088935590578033,21.966380143159476,154.0,55.0,99.0,35.714285714285715,46060.59999999999,34044.57999999999,12016.020000000004,5038.48,0.0,5.733479761849995,1.0754149380322375,0.4534344858174682,17.637559181511232,57.0,17.0,40.0,29.82456140350877,8175.67,7602.34,573.3299999999999,1129.85,0.0
42,-0.0553777955025318,True,50,18,57.0,43.0,18,11,2.7,8,13,1.7000000000000002,2.9000000000000004,0.016,0.45,5.0,28.17485617979966,1.1229342714913215,0.8355832243480743,18.442212820244094,163.0,52.0,111.0,31.901840490797547,25736.160000000003,22918.67,2817.4900000000052,3450.35,0.0,12.899839166050006,1.1798882182978392,0.8876001866017024,17.74262410069206,68.0,23.0,45.0,33.8235294117647,8461.12,7171.120000000001,1290.0,1227.07,0.0
43,-10.0,False,66,16,57.0,43.0,19,11,2.7,10,13,1.7000000000000002,2.9000000000000004,0.016,0.4,5.0,-19.721233481250085,0.831507089244597,-0.7867050874926236,31.852740102572895,100.0,25.0,75.0,25.0,9732.250000000002,11704.350000000002,-1972.1000000000004,1684.88,0.0,-7.7287497796500615,0.8151326034383364,-0.6339918792612586,16.91223609965748,42.0,12.0,30.0,28.571428571428573,3407.6699999999996,4180.51,-772.8400000000006,725.36,0.0
44,-10.0,False,44,17,56.0,43.0,18,12,2.3,9,10,1.7000000000000002,2.5,0.017,0.45,5.0,11.106393132849972,1.0935769428111417,0.5015158370566637,23.436404858173432,94.0,32.0,62.0,34.04255319148936,12979.96,11869.27,1110.6899999999987,2073.18,0.0,-10.575706898149965,0.7562405210921544,-0.9833921598711272,22.099109650054793,38.0,11.0,27.0,28.94736842105263,3281.01,4338.580000000001,-1057.5700000000006,701.7,0.0
45,-10.0,False,51,19,60.0,45.0,16,13,2.7,7,11,1.8,2.8,0.021,0.4,5.0,52.79617985299978,1.2082986307693218,1.2234366795078717,19.20351197076889,145.0,49.0,96.0,33.793103448275865,30625.96,25346.35,5279.610000000001,3464.4,0.0,-0.9404861971501668,0.9853917703919801,0.07069564429072721,21.386721273125634,57.0,18.0,39.0,31.57894736842105,6346.799999999999,6440.8899999999985,-94.08999999999924,984.82,0.0
46,-10.0,False,64,16,55.0,37.0,20,10,3.0,10,17,1.9000000000000001,3.2,0.013000000000000001,0.45,4.5,-12.789129667299967,0.808569713679301,-0.6312458920013592,27.379151884238205,62.0,14.0,48.0,22.580645161290324,5402.03,6680.97,-1278.9400000000005,1058.7,0.0,4.14262923780001,1.2707700150983352,0.6440020020201587,10.325647760274952,18.0,6.0,12.0,33.333333333333336,1944.2399999999998,1529.97,414.26999999999975,332.36,0.0
47,-10.0,False,26,15,59.0,36.0,21,12,2.4000000000000004,7,13,1.4,2.9000000000000004,0.016,0.5,4.0,-8.580356115550531,0.9678687697009666,-0.08373939548967756,34.280709916801776,219.0,65.0,154.0,29.680365296803654,25844.39,26702.37,-857.9799999999996,4426.95,0.0,-21.37758929059993,0.7411581947582413,-1.3943960468872079,34.01268603572781,88.0,22.0,66.0,25.0,6121.2699999999995,8259.06,-2137.79,1363.47,0.0
48,-0.17738377931421795,True,55,18,56.0,42.0,16,9,2.6,5,19,1.5,2.2,0.019,0.4,5.0,17.275608256449942,1.0812876154017352,0.5869223828130583,25.06641785744313,170.0,63.0,107.0,37.05882352941177,22980.53,21252.93,1727.5999999999985,3670.67,0.0,5.857293454249976,1.1046911082354454,0.5711612860910344,18.84610096953473,58.0,22.0,36.0,37.93103448275862,6180.569999999999,5594.84,585.7299999999987,1090.58,0.0
49,0.2653646974979963,True,41,20,60.0,38.0,18,13,3.0,8,16,1.8,2.6,0.015,0.6000000000000001,4.5,27.685389342299803,1.11689729732925,0.802678740473278,22.70200019548683,184.0,63.0,121.0,34.23913043478261,26452.16,23683.61,2768.5499999999993,3671.75,0.0,28.66349270665005,1.3431468204134254,1.693956066976957,12.520766916680412,77.0,29.0,48.0,37.66233766233766,11219.479999999998,8353.130000000001,2866.3499999999967,1409.57,0.0
50,0.1959566870005903,True,41,20,60.0,38.0,18,13,3.0,9,21,1.6,2.5,0.014000000000000002,0.6000000000000001,3.5,22.475588641949635,1.0988546111347401,0.713999968420221,24.63146699564453,207.0,71.0,136.0,34.29951690821256,24983.019999999997,22735.510000000002,2247.5099999999948,3489.58,0.0,24.774577158950013,1.2850648327029754,1.5671494767553296,14.658924721779702,94.0,36.0,58.0,38.297872340425535,11168.28,8690.83,2477.4500000000007,1517.96,0.0
51,-0.3600955922362743,True,43,20,60.0,35.0,18,13,3.0,9,21,1.6,2.4000000000000004,0.014000000000000002,0.6000000000000001,3.5,8.5693204176996,1.040534110087716,0.3673200798115845,26.824816724987244,204.0,70.0,134.0,34.31372549019608,21997.89,21140.96,856.9300000000003,3152.61,0.0,19.903710333850015,1.2403469028942387,1.3475458122130726,17.053433534751253,90.0,35.0,55.0,38.888888888888886,10271.66,8281.279999999999,1990.380000000001,1452.61,0.0
52,-0.5093548547727617,True,39,19,65.0,38.0,18,14,3.0,11,17,1.7000000000000002,2.6,0.014000000000000002,0.65,4.5,4.95983821100026,1.0217772807640315,0.26317909097199366,24.942841747747234,192.0,62.0,130.0,32.291666666666664,23272.030000000002,22776.03,496.00000000000364,3277.88,0.0,36.62382495470005,1.397983112917423,2.040240065809251,9.652863614822403,88.0,34.0,54.0,38.63636363636363,12864.660000000002,9202.300000000001,3662.3600000000006,1613.71,0.0
53,-10.0,False,24,19,59.0,40.0,19,15,3.2,7,25,1.7000000000000002,2.3,0.01,0.6000000000000001,3.5,-6.64414000200024,0.9525411936810163,-0.21990778301926284,24.994581522575913,180.0,60.0,120.0,33.333333333333336,13335.31,13999.720000000001,-664.4100000000017,2276.97,0.0,-8.613872834100075,0.831993431163745,-0.867842165949564,15.607007897830147,72.0,22.0,50.0,30.555555555555557,4265.83,5127.24,-861.4099999999999,863.62,0.0
54,-10.0,False,56,20,64.0,44.0,13,5,2.8,10,18,1.9000000000000001,2.0,0.017,0.65,4.0,-13.37173140150022,0.941745436834073,-0.23142926885432896,23.470967187649897,205.0,74.0,131.0,36.09756097560975,21616.739999999998,22953.910000000003,-1337.1700000000055,3029.12,0.0,2.6873472616000074,1.024332581193114,0.2969691972685377,23.21922388433721,105.0,40.0,65.0,38.095238095238095,11312.77,11044.04,268.72999999999956,1592.3,0.0
55,-0.08794312419585845,True,47,13,63.0,38.0,20,12,3.4000000000000004,8,12,1.6,2.7,0.011,0.6000000000000001,4.0,11.442478362849888,1.0466423507620868,0.45915108512865577,23.261741200969553,254.0,81.0,173.0,31.88976377952756,25676.899999999998,24532.64,1144.2599999999984,3661.05,0.0,18.732315879799916,1.2101770110093308,1.3306645102591337,12.973679594805459,105.0,37.0,68.0,35.23809523809524,10785.630000000001,8912.44,1873.1900000000005,1565.85,0.0
56,-10.0,False,41,21,60.0,42.0,21,7,2.6,4,23,1.4,2.5,0.015,0.55,4.5,-8.83906470014992,0.9721948387007482,-0.03403158906804821,31.59936124189322,317.0,99.0,218.0,31.230283911671926,30907.260000000002,31791.22,-883.9599999999991,4977.17,0.0,-2.4134841753499496,0.9840587320301586,0.04765398046321879,24.09098981989411,150.0,48.0,102.0,32.0,14898.6,15139.95,-241.35000000000036,2778.3,0.0
