trial,score,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,risk_per_trade_pct,max_position_allocation_pct,leverage,tr_return_pct,tr_net_pnl,tr_gross_profit,tr_gross_loss,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_fees,tr_blocked,va_return_pct,va_net_pnl,va_gross_profit,va_gross_loss,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_fees,va_blocked
264,1.022557019508444,110,16,62.0,31.0,13,16,3.8000000000000003,18,25,1.7000000000000002,2.3,0.03,0.6000000000000001,2.5,105.30938608859944,10530.938608859942,31712.02,21181.079999999998,1.4971861680329805,2.0291343592470206,25.63342719411163,133.0,54.0,79.0,40.6015037593985,2765.29,0.0,45.224233361649986,4522.423336164999,10872.119999999999,6349.73,1.7122176848464423,2.546472837959339,10.761138442139004,53.0,25.0,28.0,47.16981132075472,961.81,0.0
210,0.845681068348858,107,16,62.0,29.0,13,16,3.8000000000000003,19,25,1.7000000000000002,2.3,0.029,0.6000000000000001,2.5,84.49974971599957,8449.974971599957,28547.14,20097.09,1.4204613702779856,1.780131468929252,26.284379335984294,136.0,54.0,82.0,39.705882352941174,2557.27,0.0,41.043369954199974,4104.336995419997,10714.769999999999,6610.4400000000005,1.620886052970755,2.2892520284984497,11.545597393150626,55.0,25.0,30.0,45.45454545454545,981.16,0.0
233,0.8138383606229129,109,16,62.0,31.0,13,16,3.6,19,27,1.6,2.3,0.028,0.6000000000000001,2.5,85.08082794159967,8508.082794159967,29140.879999999997,20632.71,1.4123631844774631,1.8492463174023768,23.375158109997667,133.0,53.0,80.0,39.849624060150376,2735.93,0.0,28.191310237950056,2819.1310237950056,9254.689999999999,6435.59,1.4380484151414243,1.7325342241356674,10.568285912853474,54.0,22.0,32.0,40.74074074074074,916.71,0.0
212,0.8117400753208437,107,16,62.0,29.0,13,16,3.8000000000000003,19,25,1.7000000000000002,2.2,0.029,0.6000000000000001,2.5,82.12220715059956,8212.220715059957,27937.38,19725.14,1.416333673677348,1.7711960595942327,22.15846586878829,136.0,55.0,81.0,40.44117647058823,2552.35,0.0,35.56381830640014,3556.3818306400135,10026.39,6469.999999999998,1.549673879443586,2.0987408522423867,11.545705581914499,55.0,25.0,30.0,45.45454545454545,959.59,0.0
268,0.7966371182659453,110,16,62.0,32.0,13,16,3.6,17,25,1.7000000000000002,2.1,0.03,0.6000000000000001,2.5,81.65303419104956,8165.3034191049555,26514.840000000004,18349.559999999998,1.4449850568623992,1.863138798322174,17.517303687936202,126.0,54.0,72.0,42.857142857142854,2534.47,0.0,29.13681110874993,2913.6811108749935,8711.71,5798.04,1.5025267159246916,1.9043440358115913,10.760712795954522,50.0,22.0,28.0,44.0,881.54,0.0
189,0.7756300032968573,110,16,63.0,32.0,12,16,3.8000000000000003,19,20,1.8,2.4000000000000004,0.025,0.6000000000000001,2.5,76.82906823924979,7682.906823924979,27123.25,19440.3,1.3952073784869576,1.6702808388032522,28.53602008389779,125.0,48.0,77.0,38.4,2405.11,0.0,38.26391527775013,3826.391527775013,11004.02,7177.64,1.5330972297301062,2.086597087990706,11.955831234268205,55.0,24.0,31.0,43.63636363636363,938.38,0.0
286,0.7504017709147854,110,16,62.0,33.0,13,15,3.6,16,24,1.6,2.1,0.03,0.6000000000000001,2.5,93.62717331859952,9362.717331859953,31639.239999999998,22276.52,1.4202954500972322,1.8806246138530598,18.835234847491666,144.0,59.0,85.0,40.97222222222222,3006.87,0.0,18.92823759880004,1892.8237598800042,8466.279999999999,6573.46,1.2879488123454008,1.2488321181571618,12.595664086851832,55.0,23.0,32.0,41.81818181818182,896.98,0.0
245,0.7338715629963704,102,16,62.0,30.0,14,16,3.6,19,27,1.6,2.2,0.03,0.6000000000000001,2.5,72.32131138204957,7232.131138204957,26763.340000000004,19531.15,1.3702900238849225,1.6145711811596168,20.817021566283493,132.0,52.0,80.0,39.39393939393939,2508.98,0.0,36.621607291850104,3662.1607291850105,9963.42,6301.249999999999,1.5811815116048404,2.153949878114953,11.640834769823584,55.0,24.0,31.0,43.63636363636363,974.2,0.0
211,0.7165314504407393,107,16,62.0,29.0,13,16,3.8000000000000003,19,26,1.7000000000000002,2.3,0.029,0.6000000000000001,2.5,70.99695625709948,7099.695625709948,26599.269999999997,19499.54,1.3640973069108295,1.5747522180062004,26.284379335984294,135.0,53.0,82.0,39.25925925925926,2431.69,0.0,34.80180501654997,3480.180501654997,10279.789999999997,6799.6,1.511822754279663,1.9796233872173534,12.354928590638902,57.0,25.0,32.0,43.85964912280702,970.91,0.0
271,0.7118045320029851,110,16,62.0,32.0,13,16,3.7,16,26,1.6,2.1,0.03,0.6000000000000001,2.5,73.42508384529945,7342.508384529945,28480.149999999998,21137.66,1.3473653185830408,1.6010876795896942,20.339023708136388,142.0,58.0,84.0,40.84507042253521,2841.85,0.0,27.67934308270007,2767.934308270007,8940.199999999999,6172.250000000001,1.4484507270444325,1.750698273412333,12.642945630508434,55.0,24.0,31.0,43.63636363636363,909.86,0.0
243,0.6611876184676027,106,16,62.0,30.0,14,16,3.6,19,25,1.6,2.2,0.03,0.6000000000000001,2.5,63.798775974999565,6379.877597499957,26745.04,20365.140000000003,1.3132755286730167,1.498004585137079,18.35395863212349,132.0,51.0,81.0,38.63636363636363,2596.99,0.0,36.122801506150026,3612.2801506150026,9667.7,6055.419999999999,1.5965366564168963,2.15916584242314,11.640635812708512,53.0,23.0,30.0,43.39622641509434,933.01,0.0
213,0.6551797298236258,102,16,62.0,30.0,13,16,3.8000000000000003,19,25,1.7000000000000002,2.2,0.029,0.6000000000000001,2.5,63.38118817939951,6338.1188179399505,25308.489999999998,18970.3,1.3341112159533586,1.4722230908638574,22.15870769578893,134.0,53.0,81.0,39.55223880597015,2361.61,0.0,34.82971214310015,3482.971214310015,10132.39,6649.37,1.5238120303126461,2.0277597083533756,12.137407789475144,57.0,26.0,31.0,45.6140350877193,981.99,0.0
241,0.6496306251423591,107,16,62.0,30.0,14,16,3.6,19,27,1.6,2.2,0.03,0.6000000000000001,2.5,63.16228801729969,6316.228801729969,25692.769999999997,19376.530000000002,1.325973742460595,1.4986679162910388,18.600285933042194,132.0,51.0,81.0,38.63636363636363,2519.28,0.0,33.32127965355001,3332.127965355001,9577.919999999998,6245.790000000001,1.533500165711623,2.004895845814754,11.640586035821206,54.0,23.0,31.0,42.592592592592595,939.39,0.0
