trial,score,enabled,length,std,min_bandwidth_pct,expansion_lookback,expansion_min_ratio,min_mid_distance,va_trades_ratio,tr_on_return_pct,tr_on_pf,tr_on_sharpe,tr_on_max_dd,tr_on_trades,tr_on_wins,tr_on_losses,tr_on_win_rate,tr_on_gross_profit,tr_on_gross_loss,tr_on_net_pnl,tr_on_fees,tr_on_blocked,va_on_return_pct,va_on_pf,va_on_sharpe,va_on_max_dd,va_on_trades,va_on_wins,va_on_losses,va_on_win_rate,va_on_gross_profit,va_on_gross_loss,va_on_net_pnl,va_on_fees,va_on_blocked
81,0.4016997778282476,True,23,2.0,1.4000000000000001,2,0.05,0.1,0.4426229508196721,17.440232946599934,1.1985096269856088,0.647775288855116,13.09161384155439,55.0,21.0,34.0,38.18181818181818,10529.770000000002,8785.72,1744.050000000003,639.15,219.0,40.18712671664996,2.216399952781502,2.589222569291235,12.79072645255361,27.0,13.0,14.0,48.148148148148145,7322.5199999999995,3303.79,4018.7299999999996,346.16,113.0
82,0.37475053443444817,True,26,2.0,1.4000000000000001,2,0.15000000000000002,0.11,0.4426229508196721,27.68807748184992,1.2876309318640087,0.9119475335590927,13.82806577856999,57.0,23.0,34.0,40.35087719298246,12394.98,9626.189999999999,2768.790000000001,727.94,212.0,36.823010900150024,2.1529773870133444,2.4690832721493785,11.75040039020679,27.0,13.0,14.0,48.148148148148145,6876.049999999999,3193.7400000000002,3682.309999999999,329.52,112.0
137,0.33335387642874026,True,17,2.4,1.7000000000000002,3,0.35000000000000003,0.13,0.4426229508196721,16.874657459050013,1.2143367017736388,0.6278967565014774,20.371793914636367,51.0,19.0,32.0,37.254901960784316,9560.57,7873.08,1687.4899999999998,557.75,230.0,38.72670379364996,2.11021985488259,2.482880662900918,12.117160289765673,27.0,13.0,14.0,48.148148148148145,7360.889999999999,3488.21,3872.6799999999994,342.46,117.0
141,0.33335387642874026,True,17,2.4,1.7000000000000002,3,0.4,0.13,0.4426229508196721,16.874657459050013,1.2143367017736388,0.6278967565014774,20.371793914636367,51.0,19.0,32.0,37.254901960784316,9560.57,7873.08,1687.4899999999998,557.75,230.0,38.72670379364996,2.11021985488259,2.482880662900918,12.117160289765673,27.0,13.0,14.0,48.148148148148145,7360.889999999999,3488.21,3872.6799999999994,342.46,117.0
15,0.32071959421428,True,42,2.6,1.3,16,0.7000000000000001,0.16,0.4262295081967213,-1.6121834408500582,0.9760686349175244,0.03721847641408263,20.12599679503483,50.0,16.0,34.0,32.0,6574.73,6735.929999999999,-161.19999999999982,513.84,233.0,33.93029619499999,2.156397829672951,2.414831606646878,14.094258484701175,26.0,13.0,13.0,50.0,6327.129999999999,2934.1200000000003,3393.009999999999,325.85,108.0
135,0.30825424164801396,True,15,2.3,1.6,2,0.4,0.11,0.4918032786885246,24.40408548665,1.2663597508000335,0.8151703314483133,15.578748081091168,55.0,21.0,34.0,38.18181818181818,11602.54,9162.119999999999,2440.420000000002,664.13,217.0,39.678139032249945,2.0368481155224094,2.5096019642848897,12.791371419106671,30.0,14.0,16.0,46.666666666666664,7794.590000000001,3826.79,3967.800000000001,389.62,110.0
13,0.29537416108423553,True,41,2.0,1.3,2,0.55,0.17,0.4262295081967213,8.761064929249986,1.093022268137123,0.3911791322294693,25.043191069112574,66.0,23.0,43.0,34.84848484848485,10294.51,9418.390000000001,876.119999999999,731.41,191.0,35.88183163114999,2.0794728086088274,2.461016940193594,10.896951266469735,26.0,13.0,13.0,50.0,6912.2300000000005,3324.0299999999997,3588.2000000000007,324.74,103.0
111,0.26425248447307287,True,12,2.2,1.3,2,0.5,0.12,0.5573770491803278,28.473652652849978,1.2809317790527308,0.8966874638897259,16.454194089695616,62.0,24.0,38.0,38.70967741935484,12982.82,10135.449999999999,2847.370000000001,763.2,184.0,44.29759701239996,1.9445259427625943,2.6582596469932733,13.700993154868513,34.0,16.0,18.0,47.05882352941177,9119.710000000001,4689.94,4429.770000000001,473.9,92.0
136,0.24873615359360396,True,15,2.4,1.7000000000000002,3,0.4,0.13,0.47540983606557374,29.865384341549976,1.3576244903335506,0.9647143420370284,14.052557921531129,50.0,20.0,30.0,40.0,11337.589999999998,8351.050000000001,2986.5399999999972,606.28,230.0,35.73793815479992,1.946223093012788,2.3162795963102605,12.790665999869455,29.0,13.0,16.0,44.827586206896555,7350.69,3776.9000000000005,3573.789999999999,371.28,116.0
126,0.24654049414645285,True,14,2.3,1.3,2,0.5,0.13,0.5901639344262295,25.439131738849934,1.2475545720647079,0.818751239776299,17.543058026787037,66.0,25.0,41.0,37.878787878787875,12820.27,10276.320000000002,2543.949999999999,783.89,175.0,44.30862510180008,1.906985884125373,2.616568334088637,13.70166162248983,36.0,17.0,19.0,47.22222222222222,9316.16,4885.279999999999,4430.880000000001,498.85,83.0
