trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,risk_per_trade_pct,max_position_allocation_pct,leverage,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked
0,-10.0,False,69,21,74.0,35.0,9,6,1.1,18,34,1.6,1.0,0.03,0.7,1.5,-0.21609465580002507,0.9072930072930073,-0.03717509741955094,2.9071279543751385,2.0,1.0,1.0,50.0,211.49,233.1,-21.609999999999985,21.22,0.0,-2.390554743749999,0.0,-1.073039619153226,3.7298129837782974,1.0,0.0,1.0,0.0,0.0,239.06,-239.06,10.39,0.0
1,-0.035585004310446006,True,43,9,62.0,33.0,13,8,2.8,6,21,1.0,2.4000000000000004,0.025,0.35,3.0,33.77280023719965,1.1123112880633088,0.9543324726113267,20.722219148375302,357.0,122.0,235.0,34.173669467787114,33446.799999999996,30069.640000000003,3377.1599999999926,4776.45,0.0,15.406084992549987,1.176619151233895,1.2563953188335206,10.928603271666319,148.0,53.0,95.0,35.810810810810814,10263.389999999998,8722.780000000002,1540.6099999999951,1608.03,0.0
2,-10.0,False,97,7,70.0,24.0,7,20,3.9000000000000004,17,22,0.6,3.1,0.016,0.3,3.0,-15.875726035600254,0.9068572863507873,-0.41172052113477736,23.735826172046302,229.0,60.0,169.0,26.200873362445414,15456.529999999999,17044.059999999998,-1587.5299999999988,1778.56,0.0,9.176249606349993,1.1221052855692424,0.7601389786747431,14.341271625181825,97.0,29.0,68.0,29.896907216494846,8432.61,7514.99,917.6200000000008,913.3100000000001,0.0
3,-10.0,False,24,20,61.0,37.0,11,12,2.6,7,49,1.7000000000000002,3.9000000000000004,0.028,0.55,5.0,64.30311430554931,1.2967322010747306,1.1679697946792558,32.569147154154834,91.0,25.0,66.0,27.47252747252747,28100.9,21670.55,6430.350000000002,2715.62,0.0,10.628873601049946,1.1160665827266245,0.621901016012933,22.90297544546084,45.0,11.0,34.0,24.444444444444443,10220.19,9157.33,1062.8600000000006,1177.91,0.0
4,-10.0,False,31,9,56.0,28.0,12,8,3.5,10,21,1.3,1.4,0.025,0.25,5.0,-23.715806538650032,0.7874951165399655,-1.1898357834087372,23.77094184945778,185.0,77.0,108.0,41.62162162162162,8788.54,11160.12,-2371.58,1924.48,0.0,-13.199645292700152,0.7273003359240391,-1.6165141716359983,21.862632075362303,74.0,33.0,41.0,44.5945945945946,3520.4100000000003,4840.38,-1319.9699999999998,891.03,0.0
5,-10.0,False,121,9,55.0,41.0,17,16,3.3000000000000003,5,24,0.6,3.6,0.021,0.4,1.0,-8.69914687620003,0.7059781800483985,-1.2776229207490997,10.349194270330278,143.0,31.0,112.0,21.678321678321677,2088.8199999999997,2958.76,-869.9400000000005,541.69,0.0,-3.4034261491000506,0.5782096248466296,-1.654078897547874,3.6945262268306363,39.0,10.0,29.0,25.641025641025642,466.54,806.87,-340.33,153.79,0.0
6,-10.0,False,60,11,73.0,36.0,20,12,1.3,16,41,1.3,3.3000000000000003,0.017,0.5,2.5,-0.8991105629000049,0.0,-1.3604749053802716,0.9271169962872727,1.0,0.0,1.0,0.0,0.0,89.91,-89.91,12.46,0.0,-0.5039393050000035,0.0,-1.7247205352800978,0.5039393050000035,1.0,0.0,1.0,0.0,0.0,50.39,-50.39,12.48,0.0
7,-10.0,False,23,8,55.0,36.0,11,12,3.8000000000000003,8,26,1.7000000000000002,1.7000000000000002,0.007,0.4,1.5,-3.1152106844500485,0.8660033723911286,-0.5237961571058666,8.775026968836022,71.0,27.0,44.0,38.028169014084504,2013.2499999999998,2324.7599999999998,-311.51,382.24,0.0,1.0816626456499217,1.1115971033031422,0.3584230125008887,4.962037802486104,29.0,11.0,18.0,37.93103448275862,1077.56,969.3799999999999,108.18000000000006,153.97,0.0
8,-0.6876550019839839,True,141,19,71.0,42.0,19,7,3.7,13,43,1.9000000000000001,1.9,0.007,0.35,2.5,0.021025929349907525,1.0003463121817344,0.047298320426917236,9.920485818766354,139.0,52.0,87.0,37.410071942446045,6152.650000000001,6150.5199999999995,2.1300000000010186,712.81,0.0,9.370240013850015,1.3037125391382136,1.6518561074277187,6.01892038687928,74.0,33.0,41.0,44.5945945945946,4022.24,3085.2200000000003,937.0199999999995,440.71,0.0
9,-10.0,False,127,19,55.0,33.0,13,7,1.3,9,48,1.0,2.6,0.023000000000000003,0.4,5.0,-5.846258316649982,0.0,-1.5632575608006345,5.846258316649982,4.0,0.0,4.0,0.0,0.0,584.62,-584.62,78.21000000000001,0.0,-0.9359321663000264,0.723589001447178,-0.4542898481542552,4.19138415401354,3.0,1.0,2.0,33.333333333333336,245.0,338.59000000000003,-93.59000000000003,58.86,0.0
