stage,trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_gate_shortfall,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency
1a_broad,0,-1.494151644214782,False,69,21,74.0,35.0,9,6,1.1,18,34,1.6,1.0,1.0,0.015,0.5,-0.09104491145000793,0.9170993896328687,-0.0391612171053058,1.396339662700624,2.0,1.0,1.0,50.0,100.67,109.77,-9.099999999999994,10.04,0.0,0.0,-1.137957224999991,0.0,-1.0757436790289803,1.7883168033303136,1.0,0.0,1.0,0.0,0.0,113.8,-113.8,4.94,0.0,0.0,2.9649098652886914,,,,,,,
1a_broad,1,0.1897843757403895,True,147,19,60.0,24.0,9,9,2.6,11,21,1.4,1.4,1.0,0.015,0.5,4.983693005900005,1.1335716755151648,0.5454002079404354,5.208307545004887,121.0,60.0,61.0,49.586776859504134,4229.73,3731.33,498.39999999999964,624.23,0.0,1.0,5.464767597150003,1.5206906079980185,1.537742377070991,4.261017422676324,45.0,23.0,22.0,51.111111111111114,1595.98,1049.5099999999998,546.4700000000003,227.81,0.0,1.0,,0.01639430279145001,0.13017265199950462,-0.0,0.038461538461538464,0.004983693005900005,0.006678583775758241,-0.0069063942937618245
1a_broad,2,-1.0134556371707526,False,58,12,66.0,40.0,9,12,2.8,4,34,0.7,1.2,1.0,0.015,0.5,-0.37031232840001393,0.9959915152657001,0.019522281613097037,11.705352703869936,409.0,197.0,212.0,48.16625916870416,9198.39,9235.41,-37.02000000000044,1991.64,0.0,1.0,-0.7296938292499908,0.9767795504795838,-0.09638960122198302,6.028547171362863,138.0,67.0,71.0,48.55072463768116,3070.3599999999997,3143.35,-72.99000000000024,699.46,0.0,0.0,0.08073382302451555,,,,,,,
1a_broad,3,-1.2363395360911935,False,144,21,76.0,27.0,8,15,2.3,6,30,0.5,3.8000000000000003,1.0,0.015,0.5,-3.5383786661500016,0.7559808282473016,-0.5682165123095991,5.820574393828694,36.0,6.0,30.0,16.666666666666668,1096.2099999999998,1450.0500000000002,-353.8400000000004,173.07,0.0,1.0,0.06903964954999536,1.018113564171895,0.04960702266069337,4.0904560511217705,10.0,2.0,8.0,20.0,387.83,380.93,6.899999999999977,50.54,0.0,0.0,1.4180372165471615,,,,,,,
1a_broad,4,-1.0483175803961917,False,53,16,63.0,33.0,15,7,4.0,17,48,1.9000000000000001,2.8,1.0,0.015,0.5,14.168179809349912,1.152370157035406,0.7286529854764459,12.103058377236374,139.0,47.0,92.0,33.81294964028777,10715.360000000002,9298.539999999999,1416.8200000000033,745.77,0.0,1.0,-7.843686927750005,0.8279579562453666,-0.7596585503901779,14.81394226094027,74.0,21.0,53.0,28.37837837837838,3774.7100000000005,4559.0599999999995,-784.349999999999,344.2,0.0,2.0,0.2899054823771509,,,,,,,
1a_broad,5,-1.4340652499565694,False,140,8,60.0,21.0,11,10,1.8,18,24,0.9,2.6,1.0,0.015,0.5,-1.494339896449983,0.39455451561930227,-0.6612128731412129,2.424473023019374,7.0,2.0,5.0,28.571428571428573,97.38,246.81,-149.43,34.75,0.0,0.0,-0.9623243254000045,0.2805233644859813,-1.4973127433199866,1.0866081429582786,3.0,1.0,2.0,33.333333333333336,37.52,133.75,-96.22999999999999,14.91,0.0,0.0,2.604391499739416,,,,,,,
1a_broad,6,-2.0,False,38,19,56.0,45.0,18,7,1.0,17,38,1.6,3.3000000000000003,1.0,0.015,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,
1a_broad,7,-2.0,False,29,12,58.0,42.0,16,9,1.1,9,23,1.6,2.9000000000000004,1.0,0.015,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,
1a_broad,8,-1.0375993952795262,False,136,14,58.0,38.0,18,13,3.3000000000000003,12,31,1.1,1.0,1.0,0.015,0.5,-1.8658597219500008,0.9340316950597154,-0.2551259602152432,6.275513553952881,134.0,76.0,58.0,56.71641791044776,2641.0399999999995,2827.57,-186.53000000000065,651.7,0.0,0.0,-1.4741902379999738,0.8481943343184605,-0.5199040472263289,4.3473658059412825,47.0,24.0,23.0,51.06382978723404,823.69,971.1099999999999,-147.41999999999985,233.72,0.0,0.0,0.22559637167715646,,,,,,,
1a_broad,9,-2.0,False,34,7,71.0,28.0,14,19,1.7000000000000002,10,40,0.8,1.2,1.0,0.015,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,
