trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency,c_gate_shortfall
0,0.6880275843917343,True,92,21,59.0,40.0,20,16,3.4000000000000004,10,28,1.5,2.7,4.5,0.028,0.55,100.14840066764947,1.3549677615556683,1.5850317688696158,36.28516431190924,125.0,45.0,80.0,36.0,38227.99,28213.21,10014.779999999999,3865.68,0.0,1.0,100.22070091554997,1.9080750339098687,3.360951890967806,16.992601024244284,64.0,29.0,35.0,45.3125,21058.679999999997,11036.61,10022.069999999996,2086.78,0.0,0.0,0.3,0.22701875847746716,-0.011386291567110192,0.05470085470085471,0.1,0.01774838807778342,-5.412529726082473e-05,
1,-1.4971604971598653,False,69,21,74.0,35.0,9,6,1.1,18,34,1.6,1.0,5.0,0.026000000000000002,0.35,-0.31609129100002975,0.8867471606176776,-0.04749626009142483,3.3922483995679222,2.0,1.0,1.0,50.0,247.5,279.11,-31.610000000000014,25.11,0.0,0.0,-2.718222612499994,0.0,-1.0723306706815285,4.233082946598925,1.0,0.0,1.0,0.0,0.0,271.82,-271.82,11.81,0.0,0.0,,,,,,,,2.982962982959192
2,0.0838214441781171,True,43,9,62.0,33.0,13,8,2.8,6,21,1.0,2.4000000000000004,4.5,0.01,0.5,3.0146320688996093,1.0106690526685373,0.21506717916117649,18.68460591197723,356.0,122.0,234.0,34.26966292134831,28555.12,28253.679999999997,301.4400000000023,5538.09,0.0,3.0,6.545391581799867,1.0641439760405804,0.6049303946649267,9.415406927030997,145.0,52.0,93.0,35.86206896551724,10858.44,10203.92,654.5200000000004,2225.56,0.0,5.0,0.0196361747453996,0.016035994010145105,-0.0,0.1,0.0030146320688996097,0.0005334526334268675,-0.05539880927975408,
3,-1.0074351106867503,False,97,7,70.0,24.0,7,20,3.9000000000000004,17,22,0.6,3.1,2.5,0.008,0.5,-4.461066412050186,0.9669145590622354,-0.11093770661479359,15.318815768798865,228.0,60.0,168.0,26.31578947368421,13039.509999999998,13485.69,-446.1800000000021,1730.75,0.0,3.0,6.2790314199499155,1.1058872137340212,0.7046805257153697,9.297153273365069,97.0,29.0,68.0,29.896907216494846,6557.69,5929.8,627.8899999999994,874.69,0.0,0.0,,,,,,,,0.04461066412050186
4,-1.0018115942028984,False,24,20,61.0,37.0,11,12,2.6,7,49,1.7000000000000002,3.9000000000000004,5.0,0.02,0.75,43.22923876679944,1.2525011156307462,1.0230010238852243,27.105227915536968,91.0,25.0,66.0,27.47252747252747,21443.270000000004,17120.36,4322.9100000000035,2343.57,0.0,1.0,6.228689297799992,1.0802327768088762,0.4742930161263101,18.331136649641934,45.0,11.0,34.0,24.444444444444443,8386.56,7763.66,622.8999999999996,1088.35,0.0,0.0,,,,,,,,0.010869565217391353
5,-1.069870262892951,False,31,9,56.0,28.0,12,8,3.5,10,21,1.3,1.4,4.5,0.006,0.75,-14.764540306350046,0.7745724489312942,-1.3947087779029,18.207224475994952,184.0,77.0,107.0,41.84782608695652,5073.070000000001,6549.51,-1476.4399999999996,1413.12,0.0,1.0,-5.1128237619501125,0.8185296664915594,-1.1847092828882693,12.02854482700689,73.0,33.0,40.0,45.205479452054796,2306.06,2817.3199999999997,-511.25999999999976,823.21,0.0,5.0,,,,,,,,0.41922157735770693
6,-1.1130742024082636,False,121,9,55.0,41.0,17,16,3.3000000000000003,5,24,0.6,3.6,3.5,0.013000000000000001,0.25,-15.499287238949982,0.7367293691587992,-1.1262000184550303,18.752760856001217,143.0,31.0,112.0,21.678321678321677,4337.17,5887.0599999999995,-1549.8899999999994,1120.46,0.0,0.0,-7.342899616599971,0.5774754868112139,-1.6472939025568873,7.932899067835966,39.0,10.0,29.0,25.641025641025642,1003.56,1737.8400000000001,-734.2800000000002,331.13,0.0,0.0,,,,,,,,0.6784452144495816
7,-1.496440468746847,False,60,11,73.0,36.0,20,12,1.3,16,41,1.3,3.3000000000000003,3.0,0.018000000000000002,0.45,-0.9710651597000106,0.0,-1.360622740091409,1.001292228038716,1.0,0.0,1.0,0.0,0.0,97.11,-97.11,13.46,0.0,0.0,-0.5442751742499968,0.0,-1.7245969509446202,0.5442751742499968,1.0,0.0,1.0,0.0,0.0,54.43,-54.43,13.48,0.0,0.0,,,,,,,,2.9786428124810826
8,-1.09554368195775,False,23,8,55.0,36.0,11,12,3.8000000000000003,8,26,1.7000000000000002,1.7000000000000002,1.0,0.012,0.3,-1.4009167877000073,0.8914594745364813,-0.3885680983739153,4.93452216433535,69.0,27.0,42.0,39.130434782608695,1150.5800000000002,1290.6699999999998,-140.0899999999997,201.78,0.0,2.0,0.13589245489994936,1.0214382760908718,0.0838760028515485,4.148669963900137,28.0,11.0,17.0,39.285714285714285,646.5500000000001,632.98,13.57000000000005,84.51,0.0,1.0,,,,,,,,0.5732620917464994
9,-1.0127468397765,False,141,19,71.0,42.0,19,7,3.7,13,43,1.9000000000000001,1.9,1.0,0.01,0.45,-7.648103865900084,0.8728413268181735,-0.5867688844506174,14.759219872345152,139.0,52.0,87.0,37.410071942446045,5249.869999999999,6014.689999999999,-764.8199999999997,550.53,0.0,0.0,7.150414051549997,1.259283434870902,1.297561286860902,5.527440846127874,73.0,32.0,41.0,43.83561643835616,3472.6,2757.6000000000004,714.9999999999995,319.8,0.0,1.0,,,,,,,,0.07648103865900084
10,-2.0,False,90,15,80.0,20.0,16,19,2.0,20,12,1.0,2.8,2.0,0.028,0.65,9.39741853489999,99.0,2.077626562428741,1.8783050608151628,4.0,4.0,0.0,100.0,939.75,0.0,939.75,54.660000000000004,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,6.0
11,-1.071179292291892,False,54,15,63.0,45.0,15,4,2.9000000000000004,4,13,1.0,2.4000000000000004,4.0,0.022000000000000002,0.55,-40.27279153165035,0.8906821565031581,-0.5148769187734925,53.77280721176341,468.0,142.0,326.0,30.34188034188034,32812.41,36839.64,-4027.229999999996,5438.83,0.0,1.0,5.916010095199999,1.0244347696434095,0.456290399894422,34.009206895938,219.0,77.0,142.0,35.15981735159817,24803.419999999995,24211.809999999998,591.609999999997,3865.27,0.0,3.0,,,,,,,,0.4270757537513516
12,-1.1961403866191567,False,91,16,62.0,30.0,14,16,2.5,11,31,1.2000000000000002,2.4000000000000004,4.0,0.03,0.6000000000000001,36.51284937665017,1.6105707085655618,1.2053474465690128,21.028167813313527,35.0,14.0,21.0,40.0,9631.390000000001,5980.11,3651.2800000000016,888.3100000000001,0.0,0.0,0.7963401864499974,1.0302436579447982,0.16788807653845228,11.896570988333153,18.0,7.0,11.0,38.888888888888886,2713.26,2633.61,79.65000000000009,383.25,0.0,0.0,,,,,,,,1.1768423197149398
13,-1.0729126536219173,False,121,12,66.0,31.0,21,10,3.1,7,18,0.8,2.8,4.0,0.024,0.4,-43.74759217315038,0.817369432854015,-0.987315477457082,46.219299227091234,287.0,70.0,217.0,24.390243902439025,19579.390000000003,23954.15,-4374.759999999998,3239.81,0.0,3.0,7.074004715950085,1.057408874287421,0.5047639492842512,17.07203691505437,120.0,37.0,83.0,30.833333333333332,13028.8,12321.439999999999,707.3600000000006,1952.86,0.0,3.0,,,,,,,,0.4374759217315038
14,-1.2731326644370122,False,45,18,59.0,41.0,18,16,2.1,12,29,1.5,2.3,4.5,0.016,0.65,3.0179020506499543,1.2572256552311953,0.4013993162468428,6.921355469957721,12.0,5.0,7.0,41.666666666666664,1475.04,1173.25,301.78999999999996,270.06,0.0,0.0,10.108531744649953,2.5893775255106055,1.9875851514262928,3.6300327366394445,9.0,5.0,4.0,55.55555555555556,1646.8700000000001,636.01,1010.8600000000001,220.46,0.0,0.0,,,,,,,,1.6387959866220734
15,-1.114710050211134,False,78,13,66.0,33.0,13,14,2.8,9,36,1.9000000000000001,2.1,5.0,0.005,0.55,-5.838293225900088,0.7513987413456872,-0.950621526438902,8.138089129645412,60.0,18.0,42.0,30.0,1764.69,2348.54,-583.8499999999999,318.63,0.0,0.0,2.49221626799992,1.267546213796509,0.9202913134300059,2.9708842898068295,28.0,12.0,16.0,42.857142857142854,1180.77,931.54,249.23000000000002,217.74,0.0,1.0,,,,,,,,0.6882603012668047
16,-1.1143161681394838,False,108,17,59.0,26.0,9,4,2.2,14,16,1.0,2.8,3.5,0.015,0.5,-29.898043947700582,0.8728472821764702,-0.7490991917233011,33.893513058084736,263.0,68.0,195.0,25.85551330798479,20523.519999999997,23513.3,-2989.7800000000025,3073.68,0.0,4.0,-15.866318400299988,0.8103339453752582,-0.9011302749973722,27.854290229193847,90.0,24.0,66.0,26.666666666666668,6778.8,8365.44,-1586.6400000000003,1104.88,0.0,2.0,,,,,,,,0.6858970088369027
17,-2.0,False,150,13,66.0,40.0,21,18,1.6,6,28,1.4,3.2,4.5,0.022000000000000002,0.65,-2.2958014410500254,0.0,-1.6283534316199768,2.2958014410500254,1.0,0.0,1.0,0.0,0.0,229.58,-229.58,29.14,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,6.0
18,-1.129881989100816,False,40,10,63.0,45.0,16,8,3.3000000000000003,9,18,0.8,2.6,3.5,0.018000000000000002,0.4,-49.15834300865026,0.8389886217324614,-1.0603102943583165,55.33375642818782,467.0,133.0,334.0,28.4796573875803,25615.17,30531.010000000002,-4915.840000000004,3856.95,0.0,2.0,-15.127178404250408,0.9067414435003154,-0.6035584477928972,23.197954482593968,199.0,60.0,139.0,30.150753768844222,14707.99,16220.71,-1512.7199999999993,2368.21,0.0,5.0,,,,,,,,0.7792919346048969
19,-1.1092642292164567,False,72,21,58.0,38.0,18,10,2.5,4,36,2.0,1.6,4.5,0.025,0.55,-6.918626716050202,0.9199852426349069,-0.22630846195157062,23.7078407935467,64.0,27.0,37.0,42.1875,7954.68,8646.529999999999,-691.8499999999985,1332.65,0.0,0.0,9.644927790049987,1.3154414217594077,0.942705552380837,9.510576447839103,28.0,13.0,15.0,46.42857142857143,4022.1200000000003,3057.62,964.5000000000005,643.41,0.0,1.0,,,,,,,,0.6555853752987406
20,-1.0878387558161278,False,128,14,68.0,33.0,7,10,3.1,14,31,1.1,2.1,3.0,0.009000000000000001,0.6000000000000001,-10.672047472500362,0.9170834495559972,-0.4311854336952878,19.392136315557526,214.0,71.0,143.0,33.177570093457945,11803.240000000002,12870.41,-1067.1699999999983,1707.46,0.0,3.0,-13.804840544699982,0.7536231625389982,-1.6476677662598374,15.564863387607422,89.0,26.0,63.0,29.213483146067414,4222.43,5602.839999999999,-1380.409999999999,651.22,0.0,2.0,,,,,,,,0.527032534896767
21,-1.0544871794871795,False,22,19,61.0,38.0,10,13,2.6,7,50,1.8,3.9000000000000004,5.0,0.02,0.75,7.823018631199702,1.0667702804314225,0.34913991635865277,24.937248536012248,69.0,17.0,52.0,24.63768115942029,12498.91,11716.589999999998,782.3200000000015,1619.18,0.0,0.0,17.665891542449845,1.2882028392536111,1.006396746100178,13.425502893436947,36.0,10.0,26.0,27.77777777777778,7896.400000000001,6129.78,1766.6200000000008,855.75,0.0,0.0,,,,,,,,0.32692307692307687
22,-1.0437569676700111,False,52,20,60.0,38.0,13,14,2.8,6,48,1.6,3.8000000000000003,5.0,0.028,0.7,1.2682549149997795,1.0071845567719915,0.21460371160185573,29.698396876513,82.0,19.0,63.0,23.170731707317074,17778.57,17651.75,126.81999999999971,2171.7,0.0,0.0,5.226305287949981,1.0778841267783403,0.4258782671566112,26.787726643506833,33.0,10.0,23.0,30.303030303030305,7233.26,6710.6100000000015,522.6499999999987,897.08,0.0,1.0,,,,,,,,0.26254180602006694
23,-1.1531817394039865,False,35,17,57.0,33.0,12,12,2.3,10,41,1.5,3.4000000000000004,4.5,0.03,0.7,-15.32041487985003,0.8757762766451714,-0.2826023958729551,37.577333246049996,64.0,15.0,49.0,23.4375,10800.87,12332.91,-1532.039999999999,1739.75,0.0,0.0,40.32681613640014,1.9385506585271055,1.8337557037483054,15.98318194335102,21.0,9.0,12.0,42.857142857142854,8329.39,4296.71,4032.6799999999994,763.62,0.0,0.0,,,,,,,,0.9190904364239184
24,-2.0,False,20,20,65.0,43.0,9,17,1.7000000000000002,8,10,1.7000000000000002,4.0,4.0,0.022000000000000002,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
25,-1.0023755578651967,False,63,19,64.0,39.0,14,14,3.4000000000000004,6,21,1.4,3.0,5.0,0.013000000000000001,0.6000000000000001,2.830143523899878,1.0114966250322464,0.22202451620897412,22.1712473288645,242.0,70.0,172.0,28.925619834710744,24898.04,24615.050000000003,282.98999999999796,3590.18,0.0,1.0,3.8090197814999014,1.035033985449261,0.3725728382929124,16.04417701427813,104.0,31.0,73.0,29.807692307692307,11253.199999999999,10872.3,380.89999999999964,1742.31,0.0,1.0,,,,,,,,0.014253347191180089
26,-1.0524046448000175,False,48,21,61.0,35.0,11,11,3.0,8,45,2.0,3.7,4.5,0.019,0.45,62.51031096764993,1.3317304885801953,1.3885833970491814,28.66316440528664,109.0,32.0,77.0,29.357798165137616,25094.57,18843.58,6250.989999999998,2036.12,0.0,1.0,-10.95290266789998,0.8348562157728402,-0.5070530564237588,23.783464934195848,46.0,10.0,36.0,21.73913043478261,5536.900000000001,6632.160000000001,-1095.2600000000002,692.15,0.0,2.0,,,,,,,,0.3144278688001044
27,-1.2050029539368812,False,31,17,58.0,29.0,8,9,3.6,11,39,0.8,1.2,4.0,0.015,0.7,-62.36418012620044,0.8110200525745627,-1.9295489512944746,63.22249407975053,626.0,286.0,340.0,45.68690095846645,26764.27,33000.75,-6236.48,5789.7,0.0,4.0,-35.158696245150054,0.8124932668174901,-2.0570526458957836,36.000722490688695,273.0,127.0,146.0,46.52014652014652,15234.590000000002,18750.42,-3515.8299999999963,3686.12,0.0,10.0,,,,,,,,1.2300177236212866
28,-1.1596196596177253,False,81,7,61.0,32.0,11,5,4.0,5,46,1.8,3.5,5.0,0.027,0.35,8.533285389999964,1.1057194499952303,0.3854407001062441,19.020885255211645,54.0,15.0,39.0,27.77777777777778,8925.29,8071.930000000001,853.3599999999997,862.3100000000001,0.0,1.0,-13.417892605350007,0.7266719766307258,-0.8065506224906355,19.14980997416315,35.0,7.0,28.0,20.0,3567.2400000000002,4909.010000000001,-1341.770000000001,546.62,0.0,0.0,,,,,,,,0.9577179577063523
29,-1.150999501142965,False,110,20,77.0,35.0,10,6,2.7,9,35,0.5,1.0,5.0,0.024,0.4,-57.561739663150526,0.8195042228294306,-1.5421051400897468,58.39349743204812,470.0,232.0,238.0,49.361702127659576,26134.760000000002,31890.940000000002,-5756.18,5579.47,0.0,9.0,-17.817660852000188,0.8901868482084031,-0.7816226331138925,27.031871220450814,195.0,101.0,94.0,51.794871794871796,14443.699999999999,16225.470000000001,-1781.7700000000023,3077.0,0.0,3.0,,,,,,,,0.9059970068577899
30,-2.0,False,65,18,68.0,36.0,15,6,1.0,7,32,1.6,1.9,4.5,0.011,0.35,3.195513562199976,99.0,0.8713508035938259,2.129895756233944,2.0,2.0,0.0,100.0,319.55,0.0,319.55,23.89,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,6.0
31,-1.00388542854101,False,59,19,64.0,39.0,13,14,3.3000000000000003,6,21,1.4,2.9000000000000004,5.0,0.007,0.6000000000000001,-0.8054802943499998,0.9939201907154471,0.040164467726557594,20.023455664932907,242.0,71.0,171.0,29.33884297520661,13174.76,13255.349999999999,-80.58999999999833,2015.75,0.0,0.0,1.9169656649998614,1.033979343282312,0.2935859248304539,10.413674976805195,100.0,30.0,70.0,30.0,5832.449999999999,5640.78,191.66999999999916,932.47,0.0,1.0,,,,,,,,0.02331257124606014
32,-1.0091732536779994,False,40,21,63.0,39.0,14,15,3.4000000000000004,5,24,1.5,3.0,4.5,0.013000000000000001,0.55,0.7649393889495514,1.0034085176847214,0.15935733942128738,25.596765432736586,216.0,62.0,154.0,28.703703703703702,22517.33,22440.84,76.4900000000016,3291.94,0.0,1.0,-0.3591098883500308,0.9959791556562788,0.12501942726124773,22.422122448598742,99.0,29.0,70.0,29.292929292929294,8895.050000000001,8930.960000000001,-35.909999999999854,1456.66,0.0,3.0,,,,,,,,0.05503952206799671
