trial,score,enabled,length,std,min_bandwidth_pct,expansion_lookback,expansion_min_ratio,min_mid_distance,tr_on_return_pct,tr_on_pf,tr_on_sharpe,tr_on_max_dd,tr_on_trades,tr_on_wins,tr_on_losses,tr_on_win_rate,tr_on_gross_profit,tr_on_gross_loss,tr_on_net_pnl,tr_on_fees,tr_on_blocked,tr_on_head_dropped,va_on_return_pct,va_on_pf,va_on_sharpe,va_on_max_dd,va_on_trades,va_on_wins,va_on_losses,va_on_win_rate,va_on_gross_profit,va_on_gross_loss,va_on_net_pnl,va_on_fees,va_on_blocked,va_on_head_dropped,c_gate_shortfall,c_valid_trade_ratio,c_reason,c_va_pf,c_va_netpnl,c_va_dd,c_tr_pf,c_tr_netpnl,c_tr_dd
133,0.2600114157589856,True,17,2.1,0.0,18,0.55,0.08,142.65075305824973,1.5436679666612927,2.089207973906482,27.258851863915147,103.0,41.0,62.0,39.80582524271845,40503.64,26238.570000000003,14265.069999999996,3694.64,79.0,1.0,111.87790528509996,2.1968701892371563,3.828147770120817,14.434367093685635,55.0,27.0,28.0,49.09090909090909,20535.309999999998,9347.53,11187.779999999997,1853.76,31.0,0.0,,0.859375,,0.09024848603977738,0.023262858870472896,0.022582480989008166,0.035381288457304566,0.06366026013551966,0.024876041266902977
134,0.23960873486290604,True,17,2.1,0.0,18,0.5,0.1,145.20268244849976,1.5271191756792861,2.0904412130833503,28.30906617461998,106.0,42.0,64.0,39.62264150943396,42066.88,27546.56,14520.319999999996,3831.76,70.0,1.0,110.7460961926499,2.145766408329686,3.7970083338406617,14.434367093685635,55.0,27.0,28.0,49.09090909090909,20740.269999999997,9665.67,11074.599999999997,1895.08,28.0,0.0,,0.859375,,0.07427855450619296,0.021004243634299126,0.022582480989008166,0.032278390148178335,0.06748335959451926,0.021981705990708186
131,0.2233322727034278,True,17,2.2,0.1,18,0.5,0.08,145.20268244849976,1.5271191756792861,2.0904412130833503,28.30906617461998,106.0,42.0,64.0,39.62264150943396,42066.88,27546.56,14520.319999999996,3831.76,65.0,1.0,107.84042339129995,2.1122372573691703,3.725298279718713,14.434367093685635,56.0,27.0,29.0,48.214285714285715,20479.829999999998,9695.8,10784.029999999999,1897.06,27.0,0.0,,0.875,,0.06380069483103178,0.015205641149982053,0.022582480989008166,0.032278390148178335,0.06748335959451926,0.021981705990708186
138,0.21797824153402,True,18,2.0,0.2,19,0.55,0.07,120.38569830669978,1.491097379940988,1.941742001067851,22.15367243399311,99.0,39.0,60.0,39.39393939393939,36552.12,24513.57,12038.550000000003,3415.34,87.0,1.0,102.26564207079984,2.2169808514107077,3.7139620016781776,14.434367093685635,51.0,25.0,26.0,49.01960784313726,18629.8,8403.23,10226.57,1721.86,39.0,0.0,,0.796875,,0.09653306796901219,0.004080993247901955,0.022582480989008166,0.025524303447247418,0.03031174923463128,0.038945646646218995
137,0.1916194396052322,True,18,2.0,0.2,18,0.55,0.07,114.86113339359972,1.4700426620287486,1.8815773381264944,24.105848077906607,100.0,39.0,61.0,39.0,35922.33,24436.249999999996,11486.080000000005,3389.01,86.0,1.0,106.49189983194995,2.1619743974720453,3.7374525152289038,14.434367093685635,54.0,26.0,28.0,48.148148148148145,19813.890000000003,9164.72,10649.170000000004,1815.4,35.0,0.0,,0.84375,,0.07934355111318021,0.012514380761659175,0.022582480989008166,0.02157654383870254,0.022036929418319823,0.03356555348436229
141,0.16100306303659648,True,18,2.1,0.2,19,0.55,0.06,107.42160287399984,1.4425316785262459,1.7892856341110694,25.934740539519964,101.0,39.0,62.0,38.613861386138616,35016.490000000005,24274.329999999998,10742.160000000007,3319.93,84.0,1.0,99.86173955194984,2.174632301047342,3.6511586544095356,14.434367093685635,52.0,25.0,27.0,48.07692307692308,18487.68,8501.52,9986.16,1741.89,36.0,0.0,,0.8125,,0.08329914598046044,-0.0007166184231400546,0.022582480989008166,0.016418234431983286,0.010894597784474672,0.02852522227380996
142,0.149221749289562,True,18,2.1,0.30000000000000004,19,0.55,0.06,107.42160287399984,1.4425316785262459,1.7892856341110694,25.934740539519964,101.0,39.0,62.0,38.613861386138616,35016.490000000005,24274.329999999998,10742.160000000007,3319.93,84.0,1.0,97.19697703584988,2.1539492601778236,3.585857600346619,14.434367093685635,51.0,24.0,27.0,47.05882352941177,18142.65,8422.97,9719.680000000002,1695.89,38.0,0.0,,0.796875,,0.07683569570873593,-0.006034481898450003,0.022582480989008166,0.016418234431983286,0.010894597784474672,0.02852522227380996
146,0.14319635670076467,True,18,2.1,0.4,19,0.55,0.1,111.14319731819987,1.4593588139115425,1.8519406344045906,22.15367243399311,97.0,38.0,59.0,39.175257731958766,35309.42,24195.16,11114.259999999998,3316.39,97.0,1.0,83.7943632154,2.158979033224021,3.3436960312381343,14.434367093685635,43.0,21.0,22.0,48.83720930232558,15609.440000000002,7230.01,8379.430000000002,1329.6100000000001,56.0,0.0,,0.671875,,0.07840749978567256,-0.03278045353903924,0.022582480989008166,0.019573322316726413,0.016467860502177776,0.038945646646218995
105,0.1415579732219589,True,16,2.4,0.2,20,0.45,0.05,122.20973112339976,1.4494097832562312,1.8621070435572507,28.867209128702758,111.0,42.0,69.0,37.83783783783784,39414.380000000005,27193.400000000005,12220.98,3751.12,53.0,1.0,110.38037913339991,2.06835594959252,3.6384991766146326,16.992601024244284,60.0,28.0,32.0,46.666666666666664,21369.840000000004,10331.800000000001,11038.040000000003,1990.62,19.0,0.0,,0.9375,,0.05008778615082858,0.020274653838977516,0.0,0.017707879068855528,0.033044160730440426,0.020443493432856855
73,0.1385994588063151,True,15,2.4,0.2,20,0.45,0.06,139.07034931899986,1.4981097542411885,2.0247933511376024,25.8019711043826,110.0,43.0,67.0,39.09090909090909,41826.7,27919.649999999998,13907.05,3899.91,55.0,1.0,99.26669685845006,1.9927960562833733,3.4030179571083177,16.992601024244284,59.0,27.0,32.0,45.76271186440678,19925.350000000002,9998.69,9926.660000000002,1890.36,17.0,0.0,,0.921875,,0.026475319491720203,-0.0019039978766860425,0.0,0.026839123628535036,0.05829788572489861,0.028891127837847298
