stage,trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency,c_gate_shortfall
1b_narrow,0,0.15433810339976245,True,116,21,73.0,25.0,8,5,3.4,16,39,1.2000000000000002,2.5,1.0,0.015,0.5,6.065224409499915,1.059268322955871,0.384339211019897,9.471413851996667,245,79,166,32.244897959183675,10838.55,10232.110000000002,606.4399999999969,1270.18,0,6,15.0907159924999,1.3862784095999425,1.5886683930175538,9.146789810476857,85,30,55,35.294117647058826,5415.759999999999,3906.69,1509.0699999999993,449.11,0,2,0.0452721479774997,0.09656960239998563,-0.0,0.06746031746031747,0.006065224409499915,0.0029634161477935517,-0.06399260499533382,
1b_narrow,1,0.02504134518648561,True,129,20,66.0,21.0,8,6,3.7,12,35,1.1,2.5,1.0,0.015,0.5,1.1388262359998407,1.0111034951439273,0.127390677215731,14.5474062452673,242,76,166,31.40495867768595,10370.11,10256.23,113.88000000000102,1265.15,0,2,3.887588177999951,1.1050150727706887,0.5226237060609662,13.318305310730526,85,27,58,31.764705882352942,4090.8100000000004,3702.04,388.77000000000044,420.41,0,4,0.011662764533999852,0.026253768192672167,-0.0,0.06746031746031747,0.0011388262359998409,0.000555174757196364,-0.08202950599370008,
1b_narrow,2,-1.0079042192058336,False,114,18,69.0,27.0,8,7,3.8,8,39,0.6,2.5,1.0,0.015,0.5,-4.742531523500183,0.9613768197389446,-0.16745350004908552,18.690787300134843,348,107,241,30.74712643678161,11803.65,12277.86,-474.21000000000095,1696.0,0,7,3.791428357999921,1.0780022920065757,0.4981165659825981,12.379637967105484,126,41,85,32.53968253968254,5239.49,4860.37,379.1199999999999,638.9300000000001,0,1,,,,,,,,0.04742531523500183
1b_narrow,3,0.09864446166162284,True,128,21,75.0,22.0,7,8,3.7,9,38,0.5,3.1,1.0,0.015,0.5,8.275839993999908,1.0777223631069783,0.4632180330506002,15.325788981550165,244,69,175,28.278688524590162,11474.51,10647.000000000002,827.5099999999984,1347.45,0,1,4.672433987999957,1.098106076512829,0.5744360142134907,13.001161149224266,113,33,80,29.20353982300885,5229.839999999999,4762.599999999999,467.2399999999998,567.24,0,6,0.01401730196399987,0.024526519128207247,-0.0,0.0896825396825397,0.008275839993999909,0.003886118155348917,-0.041743857262472796,
1b_narrow,4,0.056839838369859584,True,113,19,67.0,24.0,10,5,4.0,15,44,1.3,2.9,1.0,0.015,0.5,2.349634098000024,1.0241895531534688,0.18887868499704508,10.597160340142768,220,66,154,30.0,9944.010000000002,9709.15,234.8600000000024,1122.71,0,4,6.442122687499868,1.173842529501769,0.7324224085934818,9.054980758701175,76,23,53,30.263157894736842,4349.92,3705.71,644.21,385.81,0,2,0.019326368062499603,0.04346063237544223,-0.0,0.06031746031746032,0.0023496340980000245,0.0012094776576734413,-0.06982373414121604,
1b_narrow,5,0.14821860357146754,True,128,16,65.0,20.0,9,6,3.5,16,36,0.7,2.8,1.0,0.015,0.5,14.383240273499778,1.1297085165400003,0.7480842827466536,11.797278826961605,236,68,168,28.8135593220339,12527.880000000003,11089.48,1438.4000000000033,1365.6,0,1,9.343149137999845,1.2485468093653318,1.0980893699344834,11.672844756137831,87,31,56,35.632183908045974,4693.250000000001,3758.97,934.2800000000011,444.23,0,8,0.028029447413999535,0.06213670234133295,-0.0,0.06904761904761905,0.014383240273499779,0.006485425827000013,-0.03186383133198378,
1b_narrow,6,-1.0164447420850002,False,111,20,64.0,28.0,12,5,3.4,16,41,1.2000000000000002,3.0,1.0,0.015,0.5,-9.866845251000159,0.9007282217625421,-0.46738683061720726,19.88313326526476,221,56,165,25.339366515837103,8952.59,9939.28,-986.6900000000005,1117.02,0,4,6.503655676999916,1.1783052854957312,0.7517351500696259,10.46240420056866,80,24,56,30.0,4297.68,3647.34,650.3400000000001,400.39,0,2,,,,,,,,0.09866845251000159
1b_narrow,7,-1.0114465187650004,False,109,18,64.0,27.0,11,6,3.4,11,36,1.2000000000000002,2.9,1.0,0.015,0.5,-6.867911259000212,0.9290561617630654,-0.3186003171081117,14.162407167784263,240,65,175,27.083333333333332,8994.49,9681.32,-686.8299999999999,1191.4,0,5,4.606137523500001,1.1188929243493142,0.6103879818108854,11.935631530209292,94,28,66,29.78723404255319,4334.58,3873.9900000000002,460.5899999999997,476.31,0,1,,,,,,,,0.06867911259000212
1b_narrow,8,-1.005522404954802,False,127,18,64.0,26.0,12,7,3.9,12,38,0.9,2.5,1.0,0.015,0.5,4.3289011484997895,1.0420165130739827,0.29453153712134367,13.086757577203405,252,78,174,30.952380952380953,10735.000000000002,10302.140000000001,432.8600000000006,1366.09,0,3,0.5846846284998174,1.0152088487847475,0.1395484022432862,11.83840874047245,99,33,66,33.333333333333336,3906.28,3847.76,58.51999999999998,490.99,0,6,,,,,,,,0.03313442972881196
1b_narrow,9,0.10620756354316073,True,110,16,72.0,22.0,10,10,3.5,12,41,0.7,2.5,1.0,0.015,0.5,2.543413423499878,1.0293343973688187,0.20352485348525634,12.041104268621057,229,72,157,31.441048034934497,8925.76,8671.39,254.3700000000008,1172.92,0,5,3.6905274549999922,1.0749100239327205,0.5019693984806632,10.136983323130748,129,43,86,33.333333333333336,5295.34,4926.3099999999995,369.03000000000065,661.94,0,1,0.011071582364999976,0.018727505983180126,-0.0,0.1,0.0025434134234998784,0.0014667198684409355,-0.027601658096960198,
