stage,trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency
1c_risk,0,0.2601797602017998,True,128,20,72.0,25.0,7,6,3.6,17,38,0.6,2.8,2.5,0.029,0.65,37.123665289499094,1.1001759660254158,0.7782974501554051,32.15424275164713,201,63,138,31.34328358208955,40770.64,37058.28999999999,3712.350000000006,4584.03,0,1,38.952259505999606,1.3353805117113642,1.5022707049915094,22.44471134613752,80,29,51,36.25,15509.589999999998,11614.359999999999,3895.2299999999996,1404.19,0,8,0.11685677851799882,0.08384512792784105,-0.0425412076922144,0.06349206349206349,0.03712366528949909,0.00500879830127079,-0.0036054656346590497
1c_risk,1,0.17578730151894187,True,128,20,72.0,25.0,7,6,3.6,17,38,0.6,2.8,3.5,0.009000000000000001,0.3,12.764882192999814,1.096837869700386,0.6155064881938512,14.239909111077708,201,63,138,31.34328358208955,14458.100000000002,13181.62,1276.4800000000014,1887.98,0,1,11.89813904799983,1.2570622384406145,1.2088270774798289,9.861961195059218,80,29,51,36.25,5818.300000000001,4628.490000000001,1189.8100000000004,631.4399999999999,0,8,0.035694417143999485,0.06426555961015362,-0.0,0.06349206349206349,0.012764882192999814,0.0048418934850193,-0.0052715144052938355
1c_risk,2,0.2516086404922523,True,128,20,72.0,25.0,7,6,3.6,17,38,0.6,2.8,1.0,0.027,0.55,20.707148600499696,1.175551098126919,0.8919469140058759,13.339977133998076,201,63,138,31.34328358208955,13866.26,11795.54,2070.7199999999993,1340.82,0,1,18.43284890949979,1.4481973822104102,1.633996939914787,10.381221686718009,80,29,51,36.25,5955.9,4112.63,1843.2699999999995,470.8,0,8,0.05529854672849936,0.11204934555260254,-0.0,0.06349206349206349,0.0207071486004997,0.008777554906345953,-0.008716018787758746
1c_risk,3,0.1161393464917037,True,128,20,72.0,25.0,7,6,3.6,17,38,0.6,2.8,4.0,0.005,0.75,3.9772533119997027,1.0472124149098585,0.32001971965365816,10.90327476601843,201,63,138,31.34328358208955,8821.11,8423.42,397.6900000000005,1505.63,0,1,9.316256525999707,1.3144174367351347,1.5052321831027609,5.853541585633704,80,29,51,36.25,3894.54,2962.94,931.5999999999999,521.55,0,8,0.02794876957799912,0.07860435918378367,-0.0,0.06349206349206349,0.003977253311999703,0.002360620745492925,-0.06024371981963521
1c_risk,4,0.18336819183509284,True,128,20,72.0,25.0,7,6,3.6,17,38,0.6,2.8,4.5,0.01,0.35,13.119912551999496,1.0791432263170533,0.5542418555945058,17.051905647592594,201,63,138,31.34328358208955,17889.540000000005,16577.54,1312.0000000000036,2527.37,0,1,15.099865765999748,1.272094967637774,1.3093106510009165,11.383047335785406,80,29,51,36.25,7059.72,5549.679999999999,1510.0400000000009,815.4300000000001,0,8,0.04529959729799924,0.06802374190944349,-0.0,0.06349206349206349,0.013119912551999497,0.003957161315852664,-0.01052428473226555
1c_risk,5,0.2083294288311997,True,128,20,72.0,25.0,7,6,3.6,17,38,0.6,2.8,1.5,0.012,0.5,17.17312056799954,1.1292363634174463,0.7515283428842063,15.343730077630513,201,63,138,31.34328358208955,15005.880000000001,13288.519999999999,1717.3600000000024,1671.12,0,1,15.637144311999855,1.3252523109435972,1.3974376081801183,10.419967412626866,80,29,51,36.25,6371.2300000000005,4807.56,1563.67,580.87,0,8,0.04691143293599956,0.0813130777358993,-0.0,0.06349206349206349,0.01717312056799954,0.006461818170872314,-0.007022084071634506
1c_risk,6,0.19016248658459964,True,128,20,72.0,25.0,7,6,3.6,17,38,0.6,2.8,2.5,0.012,0.55,16.47024357249942,1.0897164729586852,0.6183079853449024,18.769566427300052,201,63,138,31.34328358208955,20005.439999999995,18358.39,1647.0499999999956,2617.57,0,1,15.633480506499764,1.2508942742376803,1.2052986749334833,12.97295403681398,80,29,51,36.25,7794.71,6231.31,1563.3999999999996,847.59,0,8,0.04690044151949929,0.06272356855942007,-0.0,0.06349206349206349,0.016470243572499422,0.004485823647934262,-0.00390965420681691
1c_risk,7,0.22168920824559066,True,128,20,72.0,25.0,7,6,3.6,17,38,0.6,2.8,1.5,0.012,0.45,16.724151065999703,1.1360200466518968,0.7699547873036815,14.183912362292435,201,63,138,31.34328358208955,13967.73,12295.32,1672.4099999999999,1520.26,0,1,16.05873907549987,1.3581616199012871,1.4919967907951768,9.883118972225237,80,29,51,36.25,6089.63,4483.730000000001,1605.8999999999987,536.05,0,8,0.04817621722649961,0.08954040497532179,-0.0,0.06349206349206349,0.016724151065999705,0.006801002332594841,-0.0030446308468887622
1c_risk,8,0.30577240839664194,True,128,20,72.0,25.0,7,6,3.6,17,38,0.6,2.8,3.0,0.025,0.35,33.71352497649938,1.1410939984933455,0.883669175292884,21.886635427865787,201,63,138,31.34328358208955,27265.3,23894.0,3371.2999999999993,2851.5,0,1,35.77179796949977,1.4502822170528586,1.7477896642162303,17.437850454698488,80,29,51,36.25,11521.390000000001,7944.24,3577.1500000000015,940.87,0,8,0.10731539390849933,0.11257055426321466,-0.013930574026848504,0.06349206349206349,0.033713524976499376,0.007054699924667274,-0.004443254141453708
1c_risk,9,0.28729195113574724,True,128,20,72.0,25.0,7,6,3.6,17,38,0.6,2.8,3.0,0.02,0.25,25.18752204099958,1.1573849122438675,0.8836688116931548,16.240511950681995,201,63,138,31.34328358208955,18522.14,16003.439999999999,2518.7000000000007,1887.03,0,1,25.810778547999796,1.4605758112178617,1.7324052647455033,13.38273012824753,80,29,51,36.25,8184.95,5603.92,2581.0299999999997,653.79,0,8,0.07743233564399939,0.11514395280446543,-0.0,0.06349206349206349,0.02518752204099958,0.007869245612193376,-0.0018331684579740409
1c_risk,10,0.1942419931042747,True,128,20,72.0,25.0,7,6,3.6,17,38,0.6,2.8,5.0,0.022000000000000002,0.4,27.434018893998836,1.0785107233607314,0.6601743928966733,31.32346761973257,201,63,138,31.34328358208955,37686.259999999995,34942.869999999995,2743.3899999999994,4727.97,0,1,26.48151272849964,1.2406117512797818,1.2115741317353363,21.572493514111414,80,29,51,36.25,13653.899999999998,11005.78,2648.119999999997,1427.43,0,8,0.07944453818549892,0.06015293781994546,-0.03755710579492237,0.06349206349206349,0.027434018893998838,0.00392553616803657,-0.0026499956603461975
