stage,trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency
1c_risk,0,0.2351534356506943,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,2.5,0.029,0.65,20.378649950999662,1.1203743849348162,0.609711079559986,25.67231590777281,122,37,85,30.327868852459016,18966.93,16929.100000000002,2037.829999999998,2260.21,0,1,28.956235528499707,1.3987416291069532,1.5187591076737037,15.161826079987673,62,21,41,33.87096774193548,10157.34,7261.77,2895.5699999999997,1114.61,0,1,0.08686870658549913,0.0996854072767383,-0.000924720457072417,0.049206349206349205,0.020378649950999663,0.0060187192467408114,-0.026079676158560387
1c_risk,1,0.14859118601939186,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,3.5,0.009000000000000001,0.3,6.665342304499863,1.0888677318100235,0.44178661860002444,12.390389131652574,122,37,85,30.327868852459016,8165.919999999999,7499.46,666.4599999999991,1132.03,0,1,13.812115091999805,1.396763157214385,1.6114069054922167,6.511617142005087,62,21,41,33.87096774193548,4862.37,3481.1699999999996,1381.2000000000003,594.64,0,1,0.04143634527599941,0.09919078930359626,-0.0,0.049206349206349205,0.006665342304499864,0.004443386590501175,-0.05235102666155404
1c_risk,2,0.18839412203213618,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,1.0,0.027,0.55,10.382415233999819,1.183382875269125,0.6481950991713469,9.936350040867831,122,37,85,30.327868852459016,6700.16,5661.87,1038.29,712.6,0,1,9.445485521999908,1.3935508870759412,1.3287315876499715,6.780916433725127,62,21,41,33.87096774193548,3344.55,2400.02,944.5300000000002,353.92,0,1,0.028336456565999722,0.0983877217689853,-0.0,0.049206349206349205,0.010382415233999819,0.009169143763456246,-0.007087964506654127
1c_risk,3,0.096042870255192,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,4.0,0.005,0.75,3.5204098304998293,1.068542248283864,0.3470394121850013,8.026084356663615,122,37,85,30.327868852459016,5488.61,5136.540000000001,352.0699999999988,936.6899999999999,0,1,5.122470054999922,1.2093034659169848,0.9599695921399921,5.645112785975045,62,21,41,33.87096774193548,2959.4800000000005,2447.26,512.2200000000003,506.71,0,1,0.015367410164999765,0.0523258664792462,-0.0,0.049206349206349205,0.0035204098304998294,0.003427112414193201,-0.027804277840096196
1c_risk,4,0.14163562496990367,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,4.5,0.01,0.35,7.149186015999658,1.0756709725768143,0.41103560489137675,14.295411081077356,122,37,85,30.327868852459016,10162.380000000001,9447.48,714.9000000000015,1519.33,0,1,15.746645617499745,1.362328377852891,1.5484082103374242,8.123856725775282,62,21,41,33.87096774193548,5920.719999999999,4346.03,1574.6899999999996,780.22,0,1,0.04723993685249923,0.09058209446322274,-0.0,0.049206349206349205,0.007149186015999658,0.0037835486288407163,-0.05632549019700787
1c_risk,5,0.19115213715615056,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,1.5,0.012,0.5,9.554128847999836,1.1372562822155692,0.5856069534917411,12.200313049912479,122,37,85,30.327868852459016,7916.350000000001,6960.920000000001,955.4300000000003,942.01,0,1,13.613635076999852,1.4438850703637522,1.5922310559647626,6.772439991698934,62,21,41,33.87096774193548,4428.28,3066.9200000000005,1361.3599999999992,479.03000000000003,0,1,0.04084090523099956,0.11097126759093806,-0.0,0.049206349206349205,0.009554128847999837,0.006862814110778459,-0.026283327830914544
1c_risk,6,0.15817647266449436,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,2.5,0.012,0.55,8.401513898499651,1.082412834182635,0.43950315203918394,16.152273805448793,122,37,85,30.327868852459016,11034.82,10194.650000000001,840.1699999999983,1531.64,0,1,18.299129488999753,1.3886152859451621,1.6062857488102322,8.565998201587648,62,21,41,33.87096774193548,6538.67,4708.7699999999995,1829.9000000000005,800.86,0,1,0.054897388466999264,0.09715382148629054,-0.0,0.049206349206349205,0.008401513898499652,0.004120641709131745,-0.055603242102776035
1c_risk,7,0.1924550225442923,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,1.5,0.012,0.45,9.596157752999716,1.150347738485618,0.6155275515220976,11.364224001685917,122,37,85,30.327868852459016,7342.29,6382.67,959.6199999999999,851.98,0,1,11.94118912799986,1.4265755000410822,1.5141132734868874,6.534199906640337,62,21,41,33.87096774193548,3993.3700000000003,2799.27,1194.1000000000004,430.2,0,1,0.035823567383999576,0.10664387501027056,-0.0,0.049206349206349205,0.009596157752999717,0.0075173869242809,-0.016332313733607662
1c_risk,8,0.21944061254064257,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,3.0,0.025,0.35,19.8024321444998,1.1797715987181934,0.7302621733977027,17.626449150990894,122,37,85,30.327868852459016,12996.010000000002,11015.699999999999,1980.3100000000031,1435.98,0,1,17.92948408099977,1.3804021742358985,1.3568136291932342,11.98853873357856,62,21,41,33.87096774193548,6506.36,4713.38,1792.9799999999996,699.53,0,1,0.053788452242999316,0.09510054355897463,-0.0,0.049206349206349205,0.019802432144499803,0.00898857993590967,-0.007445744548090062
1c_risk,9,0.19935717108326256,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,3.0,0.02,0.25,14.984626532999828,1.1941498768538326,0.7306710579976884,12.811774135316572,122,37,85,30.327868852459016,9217.01,7718.469999999999,1498.5400000000009,994.98,0,1,12.961660755999837,1.3897274607909167,1.336658149041442,9.17182322855733,62,21,41,33.87096774193548,4621.9,3325.76,1296.1399999999994,490.53,0,1,0.03888498226799951,0.09743186519772917,-0.0,0.049206349206349205,0.01498462653299983,0.00970749384269163,-0.010858145964506773
1c_risk,10,0.14262338299841792,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,5.0,0.019,0.75,10.497414446999283,1.0501553558468315,0.3900952021450027,26.37296654721893,122,37,85,30.327868852459016,21979.09,20929.37,1049.7200000000012,3509.93,0,1,27.025331260999465,1.2900885447806452,1.390930668284197,16.245070231898946,62,21,41,33.87096774193548,12018.71,9316.19,2702.5199999999986,1720.74,0,1,0.08107599378299839,0.07252213619516129,-0.007114687039422552,0.049206349206349205,0.010497414446999283,0.0025077677923415753,-0.06607159138600928
1c_risk,11,0.23726968161391324,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,2.5,0.03,0.65,21.598227433499613,1.1266202073842002,0.6302225437076076,25.76815594080725,122,37,85,30.327868852459016,19217.02,17057.23,2159.790000000001,2271.13,0,1,28.63496495299974,1.3919431467745622,1.4924412363940174,15.480265127917262,62,21,41,33.87096774193548,10169.3,7305.83,2863.4699999999993,1115.42,0,1,0.08590489485899923,0.09798578669364055,-0.0027443721595272106,0.049206349206349205,0.021598227433499612,0.006331010369210011,-0.02101221478825817
1c_risk,12,0.23696222000429265,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,2.0,0.03,0.65,23.53502719999957,1.1691306672492492,0.726484497497368,21.48349661924591,122,37,85,30.327868852459016,16268.499999999998,13915.040000000005,2353.4599999999937,1820.53,0,1,22.172270988999827,1.3748788987009823,1.3712000241002698,14.394941328001096,62,21,41,33.87096774193548,8131.6799999999985,5914.469999999999,2217.209999999999,879.82,0,1,0.06651681296699948,0.09371972467524559,-0.0,0.049206349206349205,0.023535027199999572,0.00845653336246246,-0.00447222740676364
1c_risk,13,0.23696222000429265,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,2.0,0.03,0.65,23.53502719999957,1.1691306672492492,0.726484497497368,21.48349661924591,122,37,85,30.327868852459016,16268.499999999998,13915.040000000005,2353.4599999999937,1820.53,0,1,22.172270988999827,1.3748788987009823,1.3712000241002698,14.394941328001096,62,21,41,33.87096774193548,8131.6799999999985,5914.469999999999,2217.209999999999,879.82,0,1,0.06651681296699948,0.09371972467524559,-0.0,0.049206349206349205,0.023535027199999572,0.00845653336246246,-0.00447222740676364
1c_risk,14,0.22152239776598034,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,2.0,0.023000000000000003,0.65,16.955737367499786,1.1292031230711317,0.6083327148377404,21.002997836872364,122,37,85,30.327868852459016,14818.509999999998,13122.98,1695.5299999999988,1753.0,0,1,23.251098928499815,1.4105320773706,1.5254908536616103,12.223805599418737,62,21,41,33.87096774193548,7988.759999999999,5663.650000000001,2325.1099999999988,871.22,0,1,0.06975329678549944,0.10263301934265001,-0.0,0.049206349206349205,0.01695573736749979,0.006460156153556585,-0.02348616108957467
1c_risk,15,0.1947550300627644,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,1.0,0.03,0.6000000000000001,11.172386292999763,1.179813817545057,0.6440824359304035,10.8684940352974,122,37,85,30.327868852459016,7330.490000000001,6213.26,1117.2300000000005,781.93,0,1,10.433916526499834,1.3968424815919187,1.3401896464846652,7.389917713200137,62,21,41,33.87096774193548,3672.69,2629.28,1043.4099999999999,388.14,0,1,0.0313017495794995,0.09921062039797968,-0.0,0.049206349206349205,0.011172386292999763,0.00899069087725285,-0.005126766291316597
1c_risk,16,0.21126617563065173,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,2.5,0.023000000000000003,0.7,15.663961747999675,1.0935272288681832,0.5266792118540546,25.19645861670728,122,37,85,30.327868852459016,18314.23,16747.85,1566.380000000001,2333.8,0,1,29.08759458749966,1.3978022879727579,1.595622674931185,13.586369276618013,62,21,41,33.87096774193548,10220.94,7312.15,2908.790000000001,1165.56,0,1,0.08726278376249898,0.09945057199318946,-0.0,0.049206349206349205,0.015663961747999677,0.0046763614434091605,-0.044993852522794746
1c_risk,17,0.23193731366635467,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,3.0,0.026000000000000002,0.45,19.857172559499723,1.1423854284605937,0.6543972902458097,21.951222584116227,122,37,85,30.327868852459016,15931.81,13946.09,1985.7199999999993,1850.26,0,1,23.486024408999693,1.3914199955668365,1.4579749211599122,13.359083243988087,62,21,41,33.87096774193548,8348.84,6000.2300000000005,2348.6099999999997,910.39,0,1,0.07045807322699907,0.09785499889170912,-0.0,0.049206349206349205,0.019857172559499724,0.007119271423029683,-0.012558551641232122
1c_risk,18,0.21330289984928144,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,2.0,0.02,0.6000000000000001,14.841286535499693,1.1253969031835056,0.5882269398429325,19.253344884826735,122,37,85,30.327868852459016,13319.5,11835.380000000001,1484.119999999999,1592.08,0,1,21.782317738499753,1.424267922602561,1.5674500146922612,10.938439395113274,62,21,41,33.87096774193548,7312.22,5134.02,2178.2,796.68,0,1,0.06534695321549926,0.10606698065064024,-0.0,0.049206349206349205,0.014841286535499694,0.00626984515917528,-0.028428514917882237
1c_risk,19,0.19329843815100425,True,54,21,79.0,24.0,12,4,1.4,17,46,1.2000000000000002,3.0,3.5,0.027,0.7,15.343700698499324,1.0676203554276176,0.4728004715335947,31.14466884662943,122,37,85,30.327868852459016,24225.949999999997,22691.539999999997,1534.4099999999999,3256.06,0,1,35.716710935999544,1.3575054851780084,1.5496659592429542,16.97914671236003,62,21,41,33.87096774193548,13562.240000000003,9990.56,3571.680000000004,1624.15,0,1,0.10715013280799864,0.0893763712945021,-0.011309409784914461,0.049206349206349205,0.015343700698499324,0.003381017771380879,-0.05984972384281142
