trial,score,enabled,length,std,min_bandwidth_pct,expansion_lookback,expansion_min_ratio,min_mid_distance,tr_on_return_pct,tr_on_pf,tr_on_sharpe,tr_on_max_dd,tr_on_trades,tr_on_wins,tr_on_losses,tr_on_win_rate,tr_on_gross_profit,tr_on_gross_loss,tr_on_net_pnl,tr_on_fees,tr_on_blocked,tr_on_head_dropped,va_on_return_pct,va_on_pf,va_on_sharpe,va_on_max_dd,va_on_trades,va_on_wins,va_on_losses,va_on_win_rate,va_on_gross_profit,va_on_gross_loss,va_on_net_pnl,va_on_fees,va_on_blocked,va_on_head_dropped,c_gate_shortfall,c_valid_trade_ratio,c_reason,c_va_pf,c_va_netpnl,c_va_dd,c_tr_pf,c_tr_netpnl,c_tr_dd
45,0.28204892448789776,True,12,3.0,0.0,16,0.5,0.16,17.4724866859997,1.1420350529208056,0.5552894630599239,20.37395507155785,100.0,24.0,76.0,24.0,14048.63,12301.4,1747.2299999999996,1556.5,101.0,1.0,58.77411925599992,2.2831309913918254,2.874854954134109,17.81593490871158,44.0,15.0,29.0,34.09090909090909,10457.949999999999,4580.530000000001,5877.419999999998,739.96,38.0,2.0,,0.7457627118644068,,0.13399986458769872,0.023433992461494833,0.016765613632298268,0.013060579889888069,0.10291384401598086,-0.008124970099463008
149,0.2808113442233066,True,14,3.0,0.4,12,0.65,0.1,22.22432335699974,1.185366765031169,0.6620343056478518,18.852298112175532,98.0,24.0,74.0,24.489795918367346,14211.859999999999,11989.42,2222.4399999999987,1553.73,117.0,1.0,55.923030723499835,2.1112217241324496,2.69786942868396,17.81096647522111,46.0,15.0,31.0,32.608695652173914,10624.85,5032.56,5592.29,766.98,49.0,1.0,,0.7796610169491526,,0.08027821856914377,0.012594587710678035,0.01680276948130104,0.021185275910581197,0.15,-4.95074483974515e-05
141,0.2595424706318605,True,12,3.0,0.0,13,0.55,0.13,17.183420821999643,1.1391991925175018,0.5483347331633137,18.682100279788244,102.0,24.0,78.0,23.529411764705884,14062.89,12344.539999999999,1718.3500000000004,1590.16,97.0,1.0,59.50984524199991,2.196426201954974,2.8024733552484977,18.14688388965576,48.0,16.0,32.0,33.333333333333336,10924.98,4973.98,5951.0,800.59,33.0,2.0,,0.8135593220338984,,0.10690461788868261,0.026231184624947026,0.01429065036929524,0.012528856064268595,0.0987334259741768,0.0008537357104901962
97,0.24898012911701295,True,11,3.0,0.0,13,0.55,0.16,14.561820910999723,1.117402721374732,0.489559275526941,21.207991004782105,102.0,24.0,78.0,23.529411764705884,13859.47,12403.29,1456.1799999999985,1566.42,102.0,1.0,62.33793353649989,2.2724819501401323,2.913326648767882,16.761470698153722,48.0,16.0,32.0,33.333333333333336,11132.73,4898.93,6233.799999999999,820.24,36.0,2.0,,0.8135593220338984,,0.13067203919654463,0.036982012891109826,0.024651300954364214,0.008442017724999251,0.06078397313415562,-0.012551214784160583
44,0.23353080215878075,True,10,2.9000000000000004,0.0,15,0.5,0.11,15.475648827499628,1.1205856456049308,0.5011054541494727,20.27063783589242,106.0,25.0,81.0,23.58490566037736,14381.259999999998,12833.699999999999,1547.5599999999995,1647.65,69.0,1.0,64.32618135399993,2.2175870893493945,2.9263094617212535,20.057811719351825,52.0,18.0,34.0,34.61538461538461,11715.689999999999,5283.08,6432.609999999999,873.25,22.0,2.0,,0.8813559322033898,,0.11351739519943907,0.04453990598727613,0.0,0.009038816018161533,0.07401134850327165,-0.007576663549367631
115,0.22518630231771497,True,10,2.9000000000000004,0.30000000000000004,17,0.35000000000000003,0.13,18.794925043999665,1.1480576138041212,0.5715341038178353,20.277992890638163,107.0,26.0,81.0,24.299065420560748,14573.649999999998,12694.179999999998,1879.4699999999993,1652.07,66.0,1.0,56.893174625999876,2.0652804433917225,2.6992178742839936,18.13857919153205,52.0,17.0,35.0,32.69230769230769,11029.94,5340.649999999999,5689.290000000002,870.09,23.0,2.0,,0.8813559322033898,,0.06592156833766655,0.016282106599708496,0.014352756083317625,0.014189810055509733,0.1220557582074,-0.007615696965887417
72,0.2157480711108306,True,13,2.8,0.1,16,0.55,0.09,26.65249732999968,1.2095214361631876,0.7330993371360306,19.461036209180886,103.0,27.0,76.0,26.21359223300971,15385.79,12720.560000000003,2665.2299999999977,1689.82,82.0,1.0,49.582154758499875,1.979591151292198,2.4640382582172555,17.961122819276866,48.0,15.0,33.0,31.25,10019.76,5061.530000000001,4958.23,784.72,36.0,1.0,,0.8135593220338984,,0.03914366455656515,-0.011509620812812808,0.015679842816941503,0.02571427674783469,0.15,-0.003280092197697928
142,0.21559734061453203,True,12,2.9000000000000004,0.1,12,0.5,0.13,17.011191523999678,1.1340847645997052,0.5425883998550317,21.21557572114302,109.0,26.0,83.0,23.853211009174313,14388.019999999999,12686.9,1701.119999999999,1663.14,79.0,1.0,57.83541502549991,2.130246410543534,2.73861830055212,18.14688388965576,51.0,17.0,34.0,33.333333333333336,10900.62,5117.07,5783.550000000001,849.32,27.0,2.0,,0.864406779661017,,0.08622343307260763,0.019865462584038415,0.01429065036929524,0.011569900829681734,0.0962393607781833,-0.0125914670192743
106,0.2146497349142862,True,12,2.9000000000000004,0.0,18,0.55,0.15,16.88580198249967,1.1370439355757642,0.5412631516920006,22.383307910026147,99.0,24.0,75.0,24.242424242424242,14010.03,12321.45,1688.58,1532.72,107.0,1.0,54.9093664194999,2.17875305639218,2.730439754642818,17.81593490871158,43.0,14.0,29.0,32.55813953488372,10149.220000000001,4658.2699999999995,5490.950000000002,719.62,40.0,2.0,,0.7288135593220338,,0.10138175990030959,0.008742080863107585,0.016765613632298268,0.0121247453876928,0.09442417926003163,-0.018788644129153657
114,0.21223221377468401,True,10,2.9000000000000004,0.0,17,0.5,0.14,17.206712617499726,1.1381034325001564,0.5391600746864285,18.411139204960275,102.0,24.0,78.0,23.529411764705884,14179.79,12459.140000000001,1720.6499999999996,1603.17,81.0,1.0,56.06599142949986,2.0817202226488263,2.6768540842731974,18.13857919153205,49.0,16.0,33.0,32.6530612244898,10789.66,5183.05,5606.61,817.18,30.0,2.0,,0.8305084745762712,,0.07105899935551149,0.01313897194254313,0.014352756083317625,0.012323401061016342,0.09906635400382176,0.0022917313284736792
