trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency,c_gate_shortfall
0,0.6736376107091483,True,97,18,75.0,44.0,17,6,2.2,11,32,1.8,2.2,3.5,0.03,0.65,98.40060809584979,1.321379464411106,1.5851463394161047,29.892903673390016,125.0,53.0,72.0,42.4,40458.34,30618.260000000002,9840.079999999994,3846.35,0.0,1.0,107.73554852804999,1.8638433055423254,3.3217197224238983,14.38292504845688,63.0,30.0,33.0,47.61904761904762,23245.219999999998,12471.66,10773.559999999998,1947.06,0.0,0.0,0.3,0.21596082638558134,-0.0,0.05,0.0984006080958498,0.016068973220555307,-0.0067927969928380984,
1,-1.497687575326695,False,69,21,74.0,35.0,9,6,1.1,18,34,1.6,1.0,5.0,0.026000000000000002,0.35,-0.31609129100002975,0.8867471606176776,-0.046009011906942204,3.3922483995679222,2.0,1.0,1.0,50.0,247.5,279.11,-31.610000000000014,25.11,0.0,0.0,-2.718222612499994,0.0,-1.0387508851662846,4.233082946598925,1.0,0.0,1.0,0.0,0.0,271.82,-271.82,11.81,0.0,0.0,,,,,,,,2.98612545196017
2,-1.0082026877084174,False,43,9,62.0,33.0,13,8,2.8,6,21,1.0,2.4000000000000004,4.5,0.01,0.5,-4.921612625050402,0.9839821186054829,-0.021594110859212028,25.862937019002523,386.0,130.0,256.0,33.67875647668394,30234.729999999996,30726.909999999996,-492.1800000000003,5925.66,0.0,3.0,12.595247195049977,1.1176418941512503,0.9755886081275937,10.186063690225897,147.0,55.0,92.0,37.414965986394556,11965.72,10706.220000000001,1259.4999999999982,2436.64,0.0,2.0,,,,,,,,0.04921612625050402
3,-1.0103669578930004,False,97,7,70.0,24.0,7,20,3.9000000000000004,17,22,0.6,3.1,2.5,0.008,0.5,-6.22017473580021,0.9579222904992035,-0.16988310596782905,15.318815768798865,249.0,65.0,184.0,26.104417670682732,14162.45,14784.550000000001,-622.1000000000004,1882.1,0.0,3.0,8.468075048699975,1.155784283966629,0.9112651439593635,9.340393278858263,90.0,28.0,62.0,31.11111111111111,6282.67,5435.849999999999,846.8200000000006,858.85,0.0,0.0,,,,,,,,0.0622017473580021
4,-1.0051020408163265,False,24,20,61.0,37.0,11,12,2.6,7,49,1.7000000000000002,3.9000000000000004,5.0,0.02,0.75,44.7166630487495,1.247755509556399,1.0010287322479572,27.105227915536968,95.0,26.0,69.0,27.36842105263158,22520.290000000005,18048.64,4471.650000000005,2485.34,0.0,1.0,17.305788204399995,1.2048759178010182,0.8903385575092578,20.688174985794916,49.0,13.0,36.0,26.53061224489796,10177.369999999999,8446.820000000002,1730.5499999999975,1169.69,0.0,1.0,,,,,,,,0.030612244897959218
5,-1.0990801111667339,False,31,9,56.0,28.0,12,8,3.5,10,21,1.3,1.4,4.5,0.006,0.75,-12.53527852795005,0.8152481344410989,-1.0802667325050284,18.207224475994952,195.0,84.0,111.0,43.07692307692308,5531.320000000001,6784.83,-1253.5099999999993,1487.24,0.0,1.0,-9.78485591360004,0.6601567112858523,-2.2965439915765566,12.207610672089437,71.0,29.0,42.0,40.84507042253521,1900.71,2879.18,-978.4699999999998,776.31,0.0,3.0,,,,,,,,0.5944806670004035
6,-1.1177566311802072,False,121,9,55.0,41.0,17,16,3.3000000000000003,5,24,0.6,3.6,3.5,0.013000000000000001,0.25,-15.9633264375,0.7410259155788742,-1.105668702816162,19.61864427903545,150.0,33.0,117.0,22.0,4567.58,6163.860000000001,-1596.2800000000007,1171.7,0.0,0.0,-7.741897142349971,0.5570380711531199,-1.7542834304272794,9.406989572556203,42.0,10.0,32.0,23.80952380952381,973.5799999999999,1747.78,-774.2,355.13,0.0,0.0,,,,,,,,0.7065397870812428
7,-1.4968566329828872,False,60,11,73.0,36.0,20,12,1.3,16,41,1.3,3.3000000000000003,3.0,0.018000000000000002,0.45,-0.9710651597000106,0.0,-1.3180142336878853,1.001292228038716,1.0,0.0,1.0,0.0,0.0,97.11,-97.11,13.46,0.0,0.0,-0.5442751742499968,0.0,-1.6705873423312003,0.5442751742499968,1.0,0.0,1.0,0.0,0.0,54.43,-54.43,13.48,0.0,0.0,,,,,,,,2.981139797897323
8,-1.179300294676179,False,23,8,55.0,36.0,11,12,3.8000000000000003,8,26,1.7000000000000002,1.7000000000000002,1.0,0.012,0.3,0.19011364509999112,1.0138068780186662,0.061317678951345975,4.93452216433535,77.0,31.0,46.0,40.25974025974026,1395.8600000000004,1376.85,19.010000000000446,225.77,0.0,2.0,-2.161698882400069,0.6431059818052735,-1.189222423577016,3.825034741227325,23.0,7.0,16.0,30.434782608695652,389.51,605.6700000000001,-216.16000000000008,67.84,0.0,1.0,,,,,,,,1.0758017680570735
9,-1.0108314823065836,False,141,19,71.0,42.0,19,7,3.7,13,43,1.9000000000000001,1.9,1.0,0.01,0.45,-6.4988893839501,0.8998616294442684,-0.45510193005862526,14.759219872345152,153.0,59.0,94.0,38.56209150326797,5839.9400000000005,6489.819999999999,-649.8799999999983,608.11,0.0,0.0,4.124466545299947,1.127965423303899,0.7169105045600689,5.527278345313169,78.0,31.0,47.0,39.743589743589745,3635.4100000000003,3222.98,412.4300000000003,340.06,0.0,0.0,,,,,,,,0.064988893839501
10,-1.0408588587357759,False,91,15,80.0,20.0,16,4,1.8,20,13,2.0,2.7,2.0,0.028,0.65,-23.494907078200203,0.8550639256026278,-0.5092116870471515,48.25158671454248,97.0,27.0,70.0,27.835051546391753,13860.8,16210.250000000002,-2349.4500000000025,1230.76,0.0,1.0,13.287377371899947,1.1569006011612297,0.8138990598607758,19.815849104961675,63.0,23.0,40.0,36.507936507936506,9797.34,8468.609999999999,1328.7300000000014,837.58,0.0,0.0,,,,,,,,0.2451531524146551
11,-1.2332434701980126,False,149,18,65.0,45.0,15,12,2.3,11,50,1.6,4.0,4.0,0.023000000000000003,0.7,-3.8916603501000284,0.9419025937674939,-0.0398024650458077,21.715224130606384,37.0,8.0,29.0,21.62162162162162,6309.57,6698.75,-389.1800000000003,790.47,0.0,0.0,8.099285749249994,1.4212856043110085,0.6572450967065127,17.02848425997272,11.0,3.0,8.0,27.272727272727273,2732.45,1922.52,809.9299999999998,215.8,0.0,0.0,,,,,,,,1.3994608211880752
