trial,score,enabled,length,std,min_bandwidth_pct,expansion_lookback,expansion_min_ratio,min_mid_distance,tr_on_return_pct,tr_on_pf,tr_on_sharpe,tr_on_max_dd,tr_on_trades,tr_on_wins,tr_on_losses,tr_on_win_rate,tr_on_gross_profit,tr_on_gross_loss,tr_on_net_pnl,tr_on_fees,tr_on_blocked,tr_on_head_dropped,va_on_return_pct,va_on_pf,va_on_sharpe,va_on_max_dd,va_on_trades,va_on_wins,va_on_losses,va_on_win_rate,va_on_gross_profit,va_on_gross_loss,va_on_net_pnl,va_on_fees,va_on_blocked,va_on_head_dropped,c_gate_shortfall,c_valid_trade_ratio,c_reason,c_va_pf,c_va_netpnl,c_va_dd,c_tr_pf,c_tr_netpnl,c_tr_dd
143,0.16934812683918388,True,11,3.0,1.1,17,0.1,0.05,71.1727679873499,1.296929443962352,1.3161388816526065,29.89233704671258,100.0,41.0,59.0,41.0,31086.879999999997,23969.600000000002,7117.279999999995,2620.56,53.0,0.0,124.44314617614998,2.3182503850627434,3.784230041742876,10.315586115749822,47.0,26.0,21.0,55.319148936170215,21884.33,9440.02,12444.310000000001,1426.6100000000001,38.0,0.0,,0.746031746031746,,0.14200221235013064,0.031015745955840113,0.042418411960751704,-0.004584378834141395,-0.04150576011577142,1.8955223742303461e-06
142,0.11422840586270905,True,12,3.0,1.1,17,0.05,0.03,98.4845597621498,1.4058597114445495,1.6327218131714794,29.89243815993715,103.0,44.0,59.0,42.71844660194175,34114.17,24265.699999999997,9848.470000000001,2821.69,45.0,1.0,109.42660974060003,2.079002275801954,3.44856990628267,11.709408639653994,50.0,26.0,24.0,52.0,21084.160000000003,10141.48,10942.680000000004,1480.83,36.0,0.0,,0.7936507936507936,,0.06723717820613401,0.003139537905762001,0.027882190859602547,0.01584004631877063,0.00012789530166431622,1.5572707755404556e-06
95,0.1116952076598199,True,11,2.1,0.8,20,0.30000000000000004,0.06,72.86454334709973,1.3102863260347264,1.3390649828173828,30.80898557808036,100.0,41.0,59.0,41.0,30769.48,23483.02,7286.459999999999,2586.96,55.0,0.0,111.52553589514996,2.2040453222924574,3.543671256788676,10.315604636942016,47.0,25.0,22.0,53.191489361702125,20415.08,9262.55,11152.530000000002,1363.14,39.0,0.0,,0.746031746031746,,0.10631313023441627,0.007035186140885741,0.042418218802627077,-0.002079963445571195,-0.03892681766814899,-0.0030645464043890106
55,0.10680659650210952,True,12,2.2,0.8,10,0.25,0.06,83.34510412389973,1.337921924483672,1.4583141611883743,29.89243815993715,103.0,43.0,60.0,41.74757281553398,32998.6,24664.07,8334.529999999999,2776.86,46.0,1.0,114.20511681774983,2.1414741311413805,3.551281280717258,11.709287803171362,49.0,26.0,23.0,53.06122448979592,21425.62,10005.079999999998,11420.54,1473.84,36.0,0.0,,0.7777777777777778,,0.08675963299970474,0.012010514630261555,0.027883451067267792,0.0031017112636061023,-0.022950270729506207,1.5572707755404556e-06
144,0.09053620797173874,True,14,3.0,1.1,17,0.05,0.05,87.30707224874998,1.357701110055892,1.5088924787075333,30.541847218215246,103.0,43.0,60.0,41.74757281553398,33138.47,24407.780000000002,8730.689999999999,2769.33,45.0,1.0,110.53511656379997,2.1246557153540517,3.470214551968885,12.838464548887446,48.0,25.0,23.0,52.083333333333336,20881.859999999997,9828.35,11053.509999999997,1419.8700000000001,34.0,0.0,,0.7619047619047619,,0.08150387806616449,0.005196982241710242,0.016107229520762222,0.006810308558397357,-0.01691129543662241,-0.0021708949786731634
37,0.09035213734243491,True,13,2.8,1.0,18,0.45,0.02,99.75622365984997,1.4068761048158756,1.6497050256284278,29.89275532550598,102.0,44.0,58.0,43.13725490196079,34493.31,24517.66,9975.649999999998,2847.97,45.0,1.0,97.48485259300004,2.0667342916826703,3.248395335602862,11.709584839817255,47.0,24.0,23.0,51.06382978723404,18887.120000000003,9138.630000000001,9748.490000000002,1318.24,36.0,0.0,,0.746031746031746,,0.0634034331688578,-0.01902936448119278,0.027880353262284874,0.016030620075894272,0.0020665990520402793,4.962645504647698e-07
148,0.08501631989059653,True,10,3.0,1.1,17,0.15000000000000002,0.04,80.66201719009986,1.325505416750402,1.4345563163906911,31.819472021727275,99.0,41.0,58.0,41.41414141414141,32846.740000000005,24780.54,8066.200000000004,2758.41,55.0,0.0,111.64257102739997,2.1281568310428454,3.4968151669856735,11.709839946292002,50.0,26.0,24.0,52.0,21060.239999999998,9896.0,11164.239999999998,1467.23,34.0,0.0,,0.7936507936507936,,0.0825979767189125,0.007252570181072931,0.027877692748440642,0.0007736160636179629,-0.027040633815985097,-0.006444902005462408
135,0.07573446108365327,True,12,2.1,0.8,17,0.15000000000000002,0.06,91.78739175084978,1.3810988863160487,1.5616845071076466,29.89243815993715,102.0,43.0,59.0,42.15686274509804,33263.67,24084.930000000004,9178.739999999994,2758.61,49.0,0.0,99.50354231579996,2.062295421498438,3.271035767116875,11.709334884065417,47.0,24.0,23.0,51.06382978723404,19317.149999999998,9366.82,9950.329999999998,1334.03,40.0,0.0,,0.746031746031746,,0.062016286236285245,-0.01528241361258488,0.02788296005906992,0.01119739160717674,-0.0100813204770693,1.5572707755404556e-06
35,0.0707150938020336,True,10,2.7,0.9,15,0.35000000000000003,0.01,90.53535475484979,1.3392987843611817,1.528390108164604,31.820528567885155,109.0,46.0,63.0,42.20183486238532,35736.630000000005,26683.09,9053.540000000005,3094.15,37.0,0.0,107.13283964030005,2.0527336706427777,3.398269529940263,11.709171178655492,51.0,26.0,25.0,50.98039215686274,20889.87,10176.61,10713.259999999998,1494.62,30.0,0.0,,0.8095238095238095,,0.05902823909389135,-0.0011194071411863727,0.02788466734819268,0.003359872490639168,-0.011989841546003544,-0.006448436443499689
32,0.06377628552082595,True,14,2.4,0.9,20,0.35000000000000003,0.04,78.11723380739993,1.3125064007783347,1.3933458151265254,31.82042257518883,105.0,43.0,62.0,40.95238095238095,32808.67,24996.96,7811.709999999999,2816.81,45.0,1.0,110.53511656379997,2.1246557153540517,3.470214551968885,12.838464548887446,48.0,25.0,23.0,52.083333333333336,20881.859999999997,9828.35,11053.509999999997,1419.8700000000001,35.0,0.0,,0.7619047619047619,,0.08150387806616449,0.005196982241710242,0.016107229520762222,-0.0016636994311446385,-0.03092002300794297,-0.006448081868723399
